elements_books_group,n,metric,count,pct,elements_overall_pct,delta
selected_later_books,21,patronage_prestige_arena,2,9.5,8.7,0.8
unknown_books,56,religious_institutional_arena,12,21.4,21.0,0.4
selected_later_books,21,pedagogical_school_arena,5,23.8,23.4,0.4
unknown_books,56,humanist_transfer_book,14,25.0,24.8,0.2
near_complete_or_expanded,67,patronage_prestige_arena,6,9.0,8.7,0.2
selected_later_books,21,utility_public_book,1,4.8,4.5,0.2
books_1_6,81,composite_workshop_book,29,35.8,35.7,0.1
books_1_6,81,method_access_book,8,9.9,9.8,0.1
books_1_6_plus_solids,39,claim_selection_extraction_abridgment,7,17.9,17.8,0.1
unknown_books,56,composite_workshop_book,20,35.7,35.7,0.0
partial_from_book_1,8,Geometry/Theory,5,62.5,62.6,-0.1
books_1_6,81,claim_ancient_authority_restoration,67,82.7,83.2,-0.5
books_1_6_plus_solids,39,Visual/Spatial Arts,1,2.6,3.1,-0.6
near_complete_or_expanded,67,Music,1,1.5,2.1,-0.6
selected_later_books,21,Geometry/Theory,13,61.9,62.6,-0.7
unknown_books,56,no_visible_social_arena,24,42.9,43.7,-0.8
near_complete_or_expanded,67,Arithmetic/Commerce,3,4.5,5.2,-0.8
books_1_6_plus_solids,39,Cosmos/Earth,2,5.1,5.9,-0.8
books_1_6,81,claim_correction_revision_accuracy,18,22.2,23.1,-0.9
books_1_6_plus_solids,39,Geometry/Theory,24,61.5,62.6,-1.0
selected_later_books,21,claim_canonical_textual_identity,18,85.7,86.7,-1.0
near_complete_or_expanded_enunciations,7,claim_canonical_textual_identity,6,85.7,86.7,-1.0
selected_later_books,21,humanist_transfer_book,5,23.8,24.8,-1.0
books_1_6_plus_solids,39,patronage_prestige_arena,3,7.7,8.7,-1.0
books_1_6,81,claim_utility_practice_application,5,6.2,7.7,-1.5
books_1_6_plus_solids,39,sparse_canonical_identity,2,5.1,6.6,-1.5
unknown_books,56,claim_augmentation_enrichment_composition,22,39.3,40.9,-1.6
near_complete_or_expanded,67,religious_institutional_arena,13,19.4,21.0,-1.6
books_1_6_plus_solids,39,professional_practical_arena,1,2.6,4.2,-1.6
selected_later_books,21,court_state_service_arena,2,9.5,11.2,-1.7
near_complete_or_expanded,67,Visual/Spatial Arts,1,1.5,3.1,-1.7
unknown_books,56,military_fortification_arena,1,1.8,3.5,-1.7
selected_later_books,21,sparse_canonical_identity,1,4.8,6.6,-1.9
books_1_13,5,claim_method_demonstration_order,2,40.0,42.0,-2.0
books_1_6,81,claim_visual_material_aids,11,13.6,15.7,-2.2
near_complete_or_expanded,67,sparse_canonical_identity,3,4.5,6.6,-2.2
selected_later_books,21,metadata_additional_data,1,4.8,7.0,-2.2
selected_later_books,21,claim_ancient_authority_restoration,17,81.0,83.2,-2.3
near_complete_or_expanded,67,claim_accessibility_clarity_pedagogy,9,13.4,15.7,-2.3
near_complete_or_expanded,67,method_access_book,5,7.5,9.8,-2.3
unknown_books,56,claim_utility_practice_application,3,5.4,7.7,-2.3
books_1_6,81,military_fortification_arena,1,1.2,3.5,-2.3
selected_later_books,21,claim_translation_vernacularization_transfer,5,23.8,26.2,-2.4
books_1_6,81,patronage_prestige_arena,5,6.2,8.7,-2.6
books_1_6,81,procedural_pedagogical_identity,44,54.3,57.0,-2.7
near_complete_or_expanded,67,professional_practical_arena,1,1.5,4.2,-2.7
selected_later_books,21,claim_utility_practice_application,1,4.8,7.7,-2.9
near_complete_or_expanded,67,Cosmos/Earth,2,3.0,5.9,-3.0
near_complete_or_expanded,67,utility_public_book,1,1.5,4.5,-3.1
partial_from_book_1,8,claim_accessibility_clarity_pedagogy,1,12.5,15.7,-3.2
