classification_key,year,city,language_first,author_or_editor,elements_books_group,elements_books,natural_dominant_mode,natural_mode_count,primary_classes,mode_practical_public,utility_public_book,method_access_book,claim_method_demonstration_order,claim_accessibility_clarity_pedagogy,claim_utility_practice_application,claim_translation_vernacularization_transfer,claim_augmentation_enrichment_composition,religious_institutional_arena,military_fortification_arena,no_visible_social_arena,rich_claim_text_raw,rich_social_text_raw
Bologna_1651a,1651,Bologna,ITALIAN,Giovanni Ricci,books_1_6,1-6,humanist/vernacular transfer,5,,False,False,False,False,False,False,True,False,False,False,True,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Tradotti in lingua Italiana | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA
Bologna_1684,1684,Bologna,LATIN,D. Joanni Franciso Polo,books_1_6,1–6,pedagogical/method,4,Theoretical Mathematics,False,False,False,True,False,False,False,True,False,False,True,"edita | consecrata | studiosæ iuuentutis | SEX PRIORA EVCLIDIS GEOMETRICA ELEMENTA | Denuò clarioribus Auctorum demonstrationibus, vnà cum breuissimo proportionum tractatu | in gratiam studiosæ iuuentutis edita | SEX PRIORA EVCLIDIS GEOMETRICA ELEMENTA | cum breuissimo proportionum tractatu | EVCLIDIS",studiosæ iuuentutis | Illustrissimo Domino D. IOANNI FRANCISCO POLO Patritio Veneto
Bologna_1686,1686,Bologna,ITALIAN,Giovanni Ricci,books_1_6,1–6,humanist/vernacular transfer,4,,False,False,False,False,False,False,True,False,False,False,True,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA | SENATO DI BOLOGNA
Cambridge_1665,1665,Cambridge,LATIN,Georges Fournier,books_1_6,1–6,institutional-composite,5,Theoretical Mathematics,False,False,False,True,False,False,False,True,True,False,False,Accesserunt | EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRI- CORVM LIBRI | Commodiùs demonstrati | Editio prioribus auctior atq; castigatior | Matheseωs Professorem | Theodosii Tripolitæ | EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRI- CORVM LIBRI | Elementa Astronom-ica | Theodosii Tripolitæ Sphæricorum libri tres | Elementa Astronom-ica | Sphæricorum libri tres | EUCLIDIS,societate JESU | Matheseωs Professorem | Theodosii Tripolitæ
Douai_1620,1620,Douai,LATIN,Charles Malapert de Mons,books_1_6,1–6,practical-pedagogical,5,,True,False,True,True,True,False,False,False,True,False,False,"accommodauit | EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES | Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | Montensis è Societate IESV | EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES | Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | EVCLIDIS",Societate IESV | Montensis è Societate IESV
Douai_1625,1625,Douai,LATIN,Charles Malapert de Mons,books_1_6,1–6,practical-pedagogical,6,,True,False,True,True,True,False,False,False,True,False,False,"accommodauit | Euclidis ELEMENTORVM LIBRI SEX PRIORES | Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | Editio altera emendatior | Montensis è Societate IESV | Euclidis ELEMENTORVM LIBRI SEX PRIORES | demonstrationes | Euclidis",Societate IESV | Montensis è Societate IESV
Edinburgh_1795,1795,Edinburgh,ENGLISH,John Playfair,books_1_6,1-6,institutional-composite,4,Theoretical Mathematics | Trigonometry,False,False,False,False,False,False,False,True,False,False,False,CONTAINING | ARE ADDED | THE FIRST SIX BOOKS OF EUCLID | F.R.S. EDIN | Professor of Mathematics in the University of Edinburgh | ELEMENTS OF GEOMETRY | ELEMENTS OF PLANE AND SPHERICAL TRIGONOMETRY | TWO BOOKS ON THE GEOMETRY OF SOLIDS | ELEMENTS OF PLANE AND SPHERICAL TRIGONOMETRY | GEOMETRY OF SOLIDS | PLANE AND SPHERICAL TRIGONOMETRY | EUCLID,University of Edinburgh | F.R.S. EDIN | Professor of Mathematics in the University of Edinburgh
Ferrara_1628,1628,Ferrara,LATIN,Caterino Doino,books_1_6,1–6,institutional-composite,3,,False,False,False,False,False,False,False,True,False,False,False,Ad PerIllm. et Eccum | EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS,Ad PerIllm. et Eccum | D.D. Ioannem Libiolam Philosophu¯ . ac Medicum. insignum
Frankfurt_1674,1674,Frankfurt,LATIN,Gaspar Schott,books_1_6,1–6,institutional-composite,3,,False,False,False,True,False,False,False,True,True,False,False,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | Libros XXVIII | SIVE ABSOLUTA OMNIUM MATHEMATICARUM DISCIPLINARUM ENCYCLOPÆDIA | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS | Additis Indicibus locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | SOCIETATIS JESU Gymnasio Matheseos | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS"
Geneva_1611,1611,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",books_1_6,1–6,institutional-composite,5,,False,False,False,True,False,False,True,True,False,False,False,Traduicts | dediés | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | du Mans | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | AVEC LES DEMONSTRA- tions | LES DEMONSTRATIONS DE IACQVES PELETIER du Mans | LES DEMONSTRATIONS DE IACQVES PELETIER | françois | EVCLIDE,du Mans | Noblesse françoise
