classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
bib-31,1646,Zurich,GERMAN,Johann Ardüser,Instrument Use | Practical Geometry | Surveying | Theoretical Mathematics,Geometry/Theory | Instruments/Measurement,True,True,False,0.7314858793494423,22,"beschrieben | begriffen | Allen | GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher | In welchen die Fundament Euclidis und derselbigen Gebrauch, im Abmäsßen und Visieren aller Längen, Flächen und Cörpern: mit dem Feld-, Wein-, Treit- und Gwicht-Ruthen begriffen | Hauptmann | Zürcher | 14. Bücher | Fundament Euclidis | Euclidis",Allen | Hauptmann | Zürcher
D40ZCO,1628,Jena,GERMAN,Heinrich Hofmann,,No primary family,True,True,True,0.7262627727708815,17,Teutscher Euclides | Das ist seiner Geometriæ Erster Theil/ Von derselben Elementen | Hofmanni Professoris Mathematici in der Universitet Jehna | Euclides | Teutscher Euclides | Euclides,Universitet Jehna | Hofmanni Professoris Mathematici in der Universitet Jehna
Valencia_1569,1569,Valencia,LATIN,Pedro Monçón,Theoretical Mathematics,Geometry/Theory,True,True,True,0.7245986322352114,18,"AD disciplinas omnes | ELEMENTA Arithmeticæ, ac GEOMETRIÆ | Aristoteleam praesertim Dialecticam, ac Philosophiam apprime necessaria | auctor | ELEMENTA Arithmeticæ, ac GEOMETRIÆ | Euclide",AD disciplinas omnes | auctor
Paris_1689,1689,Paris,FRENCH,Jean Prestet,Theoretical Mathematics,Geometry/Theory,True,False,True,0.7164201113700132,19,"MIEUX DIGEREE | NOUVEAUX ELEMENS | OU PRINCIPES GENERAUX DE TOUTES LES SCIENCES Qui ont les grandeurs pour objet | SECONDE EDITION, PLUS AMPLE ET MIEUX DIGEREE | Prêtre, ci-devant Professeur des Mathématiques dans les Universitez d’Angers & de Nantes | NOUVEAUX ELEMENS","Universitez d’Angers & de Nantes | Prêtre, ci-devant Professeur des Mathématiques dans les Universitez d’Angers & de Nantes"
bib-274,1607,Padua,LATIN,Baldassarre Capra,Instrument Construction | Instrument Use | Practical Geometry,Geometry/Theory | Instruments/Measurement,True,True,False,0.7148076060010077,19,"explicata | VSUS ET FABRICA CIRCINI CVIVSDAM PROPORTIONIS | omnia ferè tum Euclidis, tú Mathematicorum omnium problemata facili negotio resoluuntur | Nobilis Mediolanensis | Euclidis",Nobilis Mediolanensis
bib-130,1627,Frankfurt,LATIN,Pierre de la Ramée,Arithmetic,Arithmetic/Commerce,True,False,False,0.7130520675917181,20,"recogniti | aucti | emendati | locupletati | ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI | Dudum quidem à LAZARO SCHONERO recogniti & aucti, nunc vero in postrema hac editione in numeris locis emendati & locupletati | PHILOSOPHI CELEBER- RIMI, ELOQUENTIAE ET MATHE- MATICARUM DISCIPLINARUM Professoris Regii | LAZARO SCHONERO | ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI | aucti | emendati | locupletati","PHILOSOPHI CELEBER- RIMI, ELOQUENTIAE ET MATHE- MATICARUM DISCIPLINARUM Professoris Regii | LAZARO SCHONERO"
35H84Y,1642,Bologna,LATIN,Mario Bettini,Mechanics,Applied Mechanics/Military,True,True,False,0.7124345968565962,33,"traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLIDES APPLICATVS | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | EVCLIDES APPLICATVS | noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum numerosa | speciosa varietate ornatum | gemino copiosissimo Indice | EVCLIDES APPLICATVS | EVCLIDES APPLICATVS | EVCLIDES | Euclideorum","Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c"
bib-276,1560,Padua,LATIN,Francesco Barozzi,Practical Geometry | Theoretical Mathematics,Geometry/Theory,True,True,True,0.7105200826193568,21,"expurgati | aucti | donati | editi | PRIMUM EUCLIDIS Elementorum librum | COMMENTARIORUM AD UNIVERSAM MATHEMATICAM DISCIPLINAM PRINCIPIUM ERUDITIONIS TRADENTIUM | summa opera, cura, ac diligentia cunctis mendis expurgati: Scholiis, & Figuris, quæ in græco codice omnes desiderabantur, aucti: Primùm iam in Romanâ linguae venustate donati, & nunc recens editi | PROCLI DIADOCHI LYCII | PRIMUM EUCLIDIS Elementorum librum | Scholiis, & Figuris | Catalogo Deorum, & Virorum Illustrium, atque Auctorum | Catalogo Deorum | græco codice | Romanâ linguae | EUCLIDIS",PROCLI DIADOCHI LYCII
Florence_1674,1674,Florence,ITALIAN,Vincenzo Viviani,Theoretical Mathematics,Geometry/Theory,True,True,True,0.7058945366316774,23,"difesa | pubblicata | spiegata | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO | Con nuovo ordine difesa, e per la prima volta pubblicata | ultimo suo Discepolo | GALILEO | TORRICELLI | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | cose varie | I Ragguali | del TORRICELLI | I Ragguali | Aggiuntivi cose varie, e del GALILEO, e del TORRICELLI; I Ragguali dell’ultime Opere loro, con altro, che dall’Indice si manifesta | TORRICELLI | I Ragguali | GALILEO | D’EVCLIDE",ultimo suo Discepolo | PRINCIPE CARDINALE DE’ MEDICI | GALILEO | TORRICELLI
London_1700,1700,London,ENGLISH,William Alingham,Construction | Practical Geometry | Surveying,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,True,True,False,0.7044752957623401,23,"Subjoin’d | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book and Doctrine of Proportion | with their Application to several of the most useful parts of the Mathematicks | Teacher of the MATHEMATICKS | First, Third, Fifth, Sixth, Eleventh, and Twelfth Books of EUCLID | EUCLID’s Second Book | A Treatise of Measuring Superficies and Solids; Vulgarily Decimally and Practically, with the Customs used by Artificers in Measuring their several Works: Likewise, Directions for Measuring Board and Timber; Making Vessels of any Bigness; Taking the Plan of any Court, Yard, Garden, &c. Also, The cutting the Five Regular Bodies | Treatise of Measuring Superficies and Solids | EUCLID | EUCLID’s",Teacher of the MATHEMATICKS
