stratum_type,stratum,fields,n,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score,mode_sparse_canonical_count,mode_sparse_canonical_pct,sparse_canonical_identity_count,sparse_canonical_identity_pct,no_visible_social_arena_count,no_visible_social_arena_pct
period_format,period=1600-1649 | format_group=folio,period + format_group,10,3.6,1.0,11.6,6.92,0,0.0,0,0.0,5,50.0
city_format,city=Amsterdam | format_group=octavo,city + format_group,9,5.56,1.89,12.22,9.89,0,0.0,0,0.0,1,11.1
period_language_bookgroup,period=1550-1599 | language_first=LATIN | elements_books_group=unknown_books,period + language_first + elements_books_group,9,3.22,1.44,9.22,6.51,0,0.0,0,0.0,3,33.3
period_language_bookgroup,period=1600-1649 | language_first=DUTCH | elements_books_group=books_1_6,period + language_first + elements_books_group,9,6.22,2.0,11.89,10.6,0,0.0,0,0.0,3,33.3
period_language_bookgroup,period=1600-1649 | language_first=LATIN | elements_books_group=near_complete_or_expanded,period + language_first + elements_books_group,9,5.11,0.67,12.22,8.22,0,0.0,0,0.0,5,55.6
period_language,period=1650-1699 | language_first=ENGLISH,period + language_first,8,5.62,1.5,13.0,9.73,0,0.0,0,0.0,3,37.5
period_language_format,period=1550-1599 | language_first=LATIN | format_group=folio,period + language_first + format_group,8,4.25,0.62,12.38,7.35,0,0.0,0,0.0,5,62.5
period_language_format,period=1550-1599 | language_first=LATIN | format_group=quarto,period + language_first + format_group,8,3.62,2.12,11.88,8.12,0,0.0,0,0.0,1,12.5
bookgroup_format,elements_books_group=near_complete_or_expanded | format_group=quarto,elements_books_group + format_group,8,4.75,1.0,13.5,8.45,0,0.0,0,0.0,3,37.5
language_format,language_first=GERMAN | format_group=quarto,language_first + format_group,7,3.14,1.0,12.71,6.69,0,0.0,0,0.0,2,28.6
city_format,city=London | format_group=octavo,city + format_group,7,4.71,1.43,12.43,8.63,0,0.0,0,0.0,4,57.1
period_language_format,period=1600-1649 | language_first=LATIN | format_group=folio,period + language_first + format_group,7,4.0,1.0,12.14,7.43,0,0.0,0,0.0,3,42.9
bookgroup_format,elements_books_group=books_1_6_plus_solids | format_group=quarto,elements_books_group + format_group,7,3.71,1.29,12.57,7.51,0,0.0,0,0.0,1,14.3
period_language_bookgroup,period=1650-1699 | language_first=LATIN | elements_books_group=near_complete_or_expanded,period + language_first + elements_books_group,7,4.14,0.86,12.29,7.46,0,0.0,0,0.0,4,57.1
language_format,language_first=ENGLISH | format_group=octavo,language_first + format_group,6,5.5,2.5,13.5,10.7,0,0.0,0,0.0,1,16.7
period_format,period=1650-1699 | format_group=folio,period + format_group,6,3.0,2.0,12.17,7.43,0,0.0,0,0.0,2,33.3
city_format,city=Cologne | format_group=octavo,city + format_group,6,4.83,0.0,8.83,6.6,0,0.0,0,0.0,6,100.0
city_format,city=Paris | format_group=duodecimo,city + format_group,6,5.67,0.83,11.0,8.7,0,0.0,0,0.0,1,16.7
city_format,city=London | format_group=duodecimo,city + format_group,5,6.6,0.8,13.0,10.0,0,0.0,0,0.0,1,20.0
period_language_format,period=1600-1649 | language_first=DUTCH | format_group=quarto,period + language_first + format_group,5,3.6,1.2,11.0,7.0,0,0.0,0,0.0,3,60.0
period_language_format,period=1600-1649 | language_first=FRENCH | format_group=quarto,period + language_first + format_group,5,6.4,1.6,13.6,10.72,0,0.0,0,0.0,1,20.0
period_language_format,period=1650-1699 | language_first=LATIN | format_group=quarto,period + language_first + format_group,5,3.4,1.0,12.0,6.8,0,0.0,0,0.0,2,40.0
bookgroup_format,elements_books_group=partial_from_book_1 | format_group=quarto,elements_books_group + format_group,5,3.0,1.2,9.0,6.0,0,0.0,0,0.0,2,40.0
period_language_bookgroup,period=1550-1599 | language_first=GREEK | elements_books_group=selected_later_books,period + language_first + elements_books_group,5,3.2,1.4,11.8,6.96,0,0.0,0,0.0,1,20.0
period_language_bookgroup,period=1650-1699 | language_first=FRENCH | elements_books_group=near_complete_or_expanded,period + language_first + elements_books_group,5,5.4,0.4,12.4,8.28,0,0.0,0,0.0,3,60.0
period_language_bookgroup,period=1700+ | language_first=ENGLISH | elements_books_group=books_1_6_plus_solids,period + language_first + elements_books_group,5,6.4,2.0,12.6,10.92,0,0.0,0,0.0,1,20.0
period_language,period=1600-1649 | language_first=GERMAN,period + language_first,4,4.25,0.25,14.0,7.3,0,0.0,0,0.0,3,75.0
period_language,period=1650-1699 | language_first=GERMAN,period + language_first,4,2.5,1.5,12.5,6.5,0,0.0,0,0.0,0,0.0
period_language,period=1700+ | language_first=FRENCH,period + language_first,4,4.5,0.25,11.5,7.05,0,0.0,0,0.0,3,75.0
language_format,language_first=ENGLISH | format_group=duodecimo,language_first + format_group,4,7.0,0.75,13.25,10.4,0,0.0,0,0.0,1,25.0
period_format,period=1700+ | format_group=quarto,period + format_group,4,4.75,1.75,11.75,8.85,0,0.0,0,0.0,1,25.0
city_format,city=Leiden | format_group=quarto,city + format_group,4,4.5,1.75,11.25,8.5,0,0.0,0,0.0,2,50.0
city_format,city=Rome | format_group=duodecimo,city + format_group,4,3.25,1.25,12.25,6.95,0,0.0,0,0.0,1,25.0
city_format,city=Rotterdam | format_group=octavo,city + format_group,4,8.75,2.0,13.0,13.35,0,0.0,0,0.0,0,0.0
period_language_format,period=1600-1649 | language_first=DUTCH | format_group=octavo,period + language_first + format_group,4,9.5,3.0,13.0,15.1,0,0.0,0,0.0,0,0.0
period_language_format,period=1650-1699 | language_first=FRENCH | format_group=quarto,period + language_first + format_group,4,2.25,0.0,7.5,3.75,0,0.0,0,0.0,4,100.0
period_language_format,period=1650-1699 | language_first=GERMAN | format_group=quarto,period + language_first + format_group,4,2.5,1.5,12.5,6.5,0,0.0,0,0.0,0,0.0
period_language_format,period=1700+ | language_first=ENGLISH | format_group=octavo,period + language_first + format_group,4,5.5,3.0,13.0,11.1,0,0.0,0,0.0,0,0.0
bookgroup_format,elements_books_group=near_complete_or_expanded_enunciations | format_group=octavo,elements_books_group + format_group,4,6.0,0.0,10.75,8.15,0,0.0,0,0.0,4,100.0
