bucket,classification_key,year,city,language,elements_books_group,dominant_mode,mode_count,primary_classes,metadata_title_page_keys,claim_text,social_text,additional_content
practical_public_elements,Ansbach_1610,1610,Ansbach,"GERMAN, LATIN",books_1_6,practical-pedagogical,7,Practical Geometry | Theoretical Mathematics,Ansbach_1610,"übergesetzet | erkläret | jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Die Ersten Sechs Bücher Elementorum EVCLIDIS | In welchen die Anfäng vnd Gründe der Geometria ordenlich gelehret, vnd gründtlich erwiesen werden | Franc. Fürstlichen Brandenb | Die Ersten Sechs Bücher Elementorum EVCLIDIS | mit verständtlichen Exempeln in …","jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Franc. Fürstlichen Brandenb | Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",
practical_public_elements,Paris_1610,1610,Paris,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Paris_1610 | Paris_1613,"Traduits | restitués | adioustez | TRADVITS | RESTITVEZ | Reueuë | augmentée | adioustez | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES | ancienne breueté, selon l’ordre de Theon | SECONDE EDITION | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | L…","Academies du Roy | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien",
practical_public_elements,Amsterdam_1616,1616,Amsterdam,DUTCH,books_1_6,practical-pedagogical,7,Practical Geometry | Theoretical Mathematics,Amsterdam_1616,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geomet…","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer",
practical_public_elements,Paris_1632,1632,Paris,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Paris_1632,Traduicts | imprimez | reueus | corrigez | traduict | imprimé | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | reueus & corrigez du viuant de l’Autheur | Professeur és Mathematiques | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | Commentaires beaucoup plus amples & faciles | figures en plus grand nombre | le Liure des DONNEZ du mesme Euclide | DONNEZ | François | D’EVCLIDE | Euclide,Professeur és Mathematiques,Data
practical_public_elements,Paris_1640,1640,Paris,FRENCH,unknown_books,practical-pedagogical,7,Theoretical Mathematics,Paris_1640,"illustré | reduit | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires, & reduit à 62. Propositions | STEVIN | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires | AVEC VN DISCOURS DE LA MANIERE d’expliquer les sciences en François | TRAITE' DES QVANTITEZ INCOMENSVRABLES: OV SONT DECIDEes P…",Meßieurs de L’ACADEMIE FRANCOISE | STEVIN,
practical_public_elements,Rotterdam_1647,1647,Rotterdam,DUTCH,books_1_6,practical-pedagogical,7,,Rotterdam_1647 | Utrecht_1647,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt …,alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer,
practical_public_elements,Amsterdam_1662,1662,Amsterdam,DUTCH,near_complete_or_expanded_enunciations,practical-pedagogical,7,Theoretical Mathematics,Amsterdam_1662,Overgeset | Vertaelt | vergroot | verrijckt | De 15 Boecken der ELEMENTEN Van Euclidis | Met korte verk-laringen eeniger Propositien | En nu vergroot deor J. V. L | in sijn leven Professer Matheseos der Hooge Schoole tot Leyden | Christophoro Clavio | De 15 Boecken der ELEMENTEN Van Euclidis | Met korte verk-laringen eeniger Propositien | een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren | he…,Hooge Schoole tot Leyden | in sijn leven Professer Matheseos der Hooge Schoole tot Leyden | Christophoro Clavio,
practical_public_elements,Madrid_1665,1665,Madrid,SPANISH,mixed_or_other_books,practical-pedagogical,7,Architecture | Practical Geometry | Theoretical Mathematics,Madrid_1665,traduci-dos | aprobadas | Confirmadas | COMPVESTO | QVINTO Y SEPTIMO libros de Euclides | traduci-dos de latín en Romance | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | Bouedas | Pichinas | QVINTO Y SEPTIMO libros de Euclides | LAS MEDIDAS DIFICILES DE Bouedas | las superficies y pies cubicos de Pichinas | LAS ORDENAN-ZAS DE La Imperial Ciudad d…,La Imperial Ciudad de Toledo | Villa de Madrid | San Nicolas | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | MI REDEMPTOR IESV CHRISTO | Bouedas | Pichinas,
practical_public_elements,Rouen_1676,1676,Rouen,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Rouen_1676,Traduits | reveus & corrigez | traduit | LES QUINZE LIVRES DES ELEMENTS D’EUCLIDE | Traduits en François par D. HENRION | reveus & corrigez | aussi traduit en François par ledit Henrion | Professeur és Mathematiques | LES QUINZE LIVRES DES ELEMENTS D’EUCLIDE | avec des Commentaires beaucoup plus amples & faciles | des figures en plus grand nombre | le Livre des DONNEZ du même Euclide | DONNEZ | François | D’EUCLIDE …,Professeur és Mathematiques,Data
institutional_composite_elements,Venice_1505,1505,Venice,LATIN,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Venice_1505 | Venice_1510,sumpta | addita | subuersa | voluta | ordinata | digesta | castigata | addita | subuersa | prepostere | voluta | ordinata | digesta | castigata | adiuncta | quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat- icam substantiam aspirant | elementorum libros. xiij | cum expositione Theonis insignis mathematici | voluta in Campani interpretatione: ordinata digesta et castigata | voluta in Campani int…,quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat- icam substantiam aspirant | Interprete | Theonis | Hypsi | Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Theonis | Hypsi. Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Socratico philosopho,"Phaenomena, Optica, Catoptrica, Data"
institutional_composite_elements,Paris_1565,1565,Paris,FRENCH,selected_later_books,practical-pedagogical,7,Theoretical Mathematics,Paris_1565 | Paris_1565a,"COMPRENANS | traduits | com- mentez | TRADVICT | COMMENté | intitulé | LES SEPTIEME, HVICTIEME ET NEVFIEME, LIVRES DES ELEMENS D’EVCLIDE | Liure d’Euclide | COMPRENANS TOVTE LA SCIEN- ce des nombres | du leger & du pesant | TRADVICT ET COMMENté | lecteur ordinaire du Roy és Mathema- tiques, en l’vni- uersité de Paris | lecteur ordinaire du Roy es Mathematiques en l’Vniuersité de Paris | LES SEPTIEME, HVICTIEME ET NE…","vni- uersité de Paris | l’Vniuersité de Paris | lecteur ordinaire du Roy és Mathema- tiques, en l’vni- uersité de Paris | lecteur ordinaire du Roy es Mathematiques en l’Vniuersité de Paris",De levi et ponderoso
institutional_composite_elements,Rome_1591,1591,Rome,LATIN,unknown_books,practical-pedagogical,7,Astronomy,Rome_1591,conuersa | illustrata | ad-ditæ sunt | EVCLIDIS PHAENOMENA | Scholijs antiquis: & figuris optimis illustrata: & de Græca lingua in Latinam conuersa | Post Zamberti: & Maurolyci edi-tionem | EVCLIDIS PHAENOMENA | Scholijs antiquis | figuris optimis | de Græca lingua in Latinam conuersa | Maurolyci breues aliquot annotationes | de Græca lingua | in Latinam | EVCLIDIS,VATICANA. BIBLIOTHECA | BIBLIOTHE-CARIVM | ANTONIVM. COLVMNAM. S.R.E. CARD. EPISCOPVM. PRAENESTINVM,Phaenomena
