social_category,n_social,mode,count,pct,overall_pct,delta
role_engineer_practitioner,16,procedural_pedagogical_identity,7,43.8,26.3,17.4
role_engineer_practitioner,16,composite_workshop_book,8,50.0,28.8,21.2
role_engineer_practitioner,16,utility_public_book,4,25.0,7.1,17.9
role_engineer_practitioner,16,humanist_transfer_book,0,0.0,9.5,-9.5
role_engineer_practitioner,16,method_access_book,1,6.2,6.2,0.1
pat_royal_princely_patron,30,canonical_textual_identity,8,26.7,47.0,-20.3
pat_royal_princely_patron,30,method_demonstration_order,10,33.3,25.0,8.3
pat_royal_princely_patron,30,accessibility_clarity_pedagogy,2,6.7,11.5,-4.8
pat_royal_princely_patron,30,utility_practice_application,5,16.7,14.4,2.3
pat_royal_princely_patron,30,correction_revision_accuracy,6,20.0,15.4,4.6
pat_royal_princely_patron,30,augmentation_enrichment_composition,13,43.3,32.9,10.5
pat_royal_princely_patron,30,translation_vernacularization_transfer,1,3.3,14.5,-11.1
pat_royal_princely_patron,30,ancient_authority_restoration,6,20.0,36.2,-16.2
pat_royal_princely_patron,30,novelty_modernity_invention,3,10.0,12.1,-2.1
pat_royal_princely_patron,30,visual_material_aids,7,23.3,14.8,8.5
pat_royal_princely_patron,30,completeness_totality_system,5,16.7,13.5,3.1
pat_royal_princely_patron,30,selection_extraction_abridgment,1,3.3,10.7,-7.3
pat_royal_princely_patron,30,sparse_canonical_identity,0,0.0,6.4,-6.4
pat_royal_princely_patron,30,procedural_pedagogical_identity,1,3.3,26.3,-23.0
pat_royal_princely_patron,30,composite_workshop_book,10,33.3,28.8,4.5
pat_royal_princely_patron,30,utility_public_book,5,16.7,7.1,9.5
pat_royal_princely_patron,30,humanist_transfer_book,0,0.0,9.5,-9.5
pat_royal_princely_patron,30,method_access_book,1,3.3,6.2,-2.8
pat_noble_patron,20,canonical_textual_identity,10,50.0,47.0,3.0
pat_noble_patron,20,method_demonstration_order,6,30.0,25.0,5.0
pat_noble_patron,20,accessibility_clarity_pedagogy,5,25.0,11.5,13.5
pat_noble_patron,20,utility_practice_application,3,15.0,14.4,0.6
pat_noble_patron,20,correction_revision_accuracy,1,5.0,15.4,-10.4
pat_noble_patron,20,augmentation_enrichment_composition,4,20.0,32.9,-12.9
pat_noble_patron,20,translation_vernacularization_transfer,2,10.0,14.5,-4.5
pat_noble_patron,20,ancient_authority_restoration,7,35.0,36.2,-1.2
pat_noble_patron,20,novelty_modernity_invention,3,15.0,12.1,2.9
pat_noble_patron,20,visual_material_aids,4,20.0,14.8,5.2
pat_noble_patron,20,completeness_totality_system,2,10.0,13.5,-3.5
pat_noble_patron,20,selection_extraction_abridgment,1,5.0,10.7,-5.7
pat_noble_patron,20,sparse_canonical_identity,0,0.0,6.4,-6.4
pat_noble_patron,20,procedural_pedagogical_identity,2,10.0,26.3,-16.3
pat_noble_patron,20,composite_workshop_book,4,20.0,28.8,-8.8
pat_noble_patron,20,utility_public_book,3,15.0,7.1,7.9
pat_noble_patron,20,humanist_transfer_book,1,5.0,9.5,-4.5
pat_noble_patron,20,method_access_book,2,10.0,6.2,3.8
pat_ecclesiastical_patron,8,canonical_textual_identity,7,87.5,47.0,40.5
pat_ecclesiastical_patron,8,method_demonstration_order,5,62.5,25.0,37.5
pat_ecclesiastical_patron,8,accessibility_clarity_pedagogy,1,12.5,11.5,1.0
pat_ecclesiastical_patron,8,utility_practice_application,1,12.5,14.4,-1.9
pat_ecclesiastical_patron,8,correction_revision_accuracy,4,50.0,15.4,34.6
pat_ecclesiastical_patron,8,augmentation_enrichment_composition,6,75.0,32.9,42.1
pat_ecclesiastical_patron,8,translation_vernacularization_transfer,6,75.0,14.5,60.5
pat_ecclesiastical_patron,8,ancient_authority_restoration,7,87.5,36.2,51.3
pat_ecclesiastical_patron,8,novelty_modernity_invention,0,0.0,12.1,-12.1
pat_ecclesiastical_patron,8,visual_material_aids,6,75.0,14.8,60.2
pat_ecclesiastical_patron,8,completeness_totality_system,2,25.0,13.5,11.5
pat_ecclesiastical_patron,8,selection_extraction_abridgment,0,0.0,10.7,-10.7
pat_ecclesiastical_patron,8,sparse_canonical_identity,0,0.0,6.4,-6.4
pat_ecclesiastical_patron,8,procedural_pedagogical_identity,7,87.5,26.3,61.2
pat_ecclesiastical_patron,8,composite_workshop_book,6,75.0,28.8,46.2
pat_ecclesiastical_patron,8,utility_public_book,1,12.5,7.1,5.4
pat_ecclesiastical_patron,8,humanist_transfer_book,6,75.0,9.5,65.5
pat_ecclesiastical_patron,8,method_access_book,0,0.0,6.2,-6.2
pat_named_private_patron,164,canonical_textual_identity,91,55.5,47.0,8.5
pat_named_private_patron,164,method_demonstration_order,41,25.0,25.0,-0.0
pat_named_private_patron,164,accessibility_clarity_pedagogy,16,9.8,11.5,-1.8
pat_named_private_patron,164,utility_practice_application,21,12.8,14.4,-1.5
pat_named_private_patron,164,correction_revision_accuracy,21,12.8,15.4,-2.6
pat_named_private_patron,164,augmentation_enrichment_composition,60,36.6,32.9,3.7
pat_named_private_patron,164,translation_vernacularization_transfer,27,16.5,14.5,2.0
pat_named_private_patron,164,ancient_authority_restoration,75,45.7,36.2,9.6
pat_named_private_patron,164,novelty_modernity_invention,19,11.6,12.1,-0.5
pat_named_private_patron,164,visual_material_aids,27,16.5,14.8,1.6
pat_named_private_patron,164,completeness_totality_system,19,11.6,13.5,-1.9
pat_named_private_patron,164,selection_extraction_abridgment,13,7.9,10.7,-2.7
pat_named_private_patron,164,sparse_canonical_identity,0,0.0,6.4,-6.4
pat_named_private_patron,164,procedural_pedagogical_identity,43,26.2,26.3,-0.1
pat_named_private_patron,164,composite_workshop_book,50,30.5,28.8,1.7
pat_named_private_patron,164,utility_public_book,21,12.8,7.1,5.7
pat_named_private_patron,164,humanist_transfer_book,24,14.6,9.5,5.1
pat_named_private_patron,164,method_access_book,9,5.5,6.2,-0.7
