bucket,classification_key,year,city,language,wardhaugh_classification,elements_books_group,primary_classes,rich_claim_text_raw,rich_social_text_raw,metadata_elements_title_page_keys
Elements but not Geometry/Theory primary,Leiden_1599,1599,Leiden,LATIN,MISSING,unknown_books,Perspective,versa | EVCLIDIS Optica & Catoptrica | Regium Mathematicum | EVCLIDIS Optica & Catoptrica | Græco | EVCLIDIS,Regium Mathematicum | Illustrissimum Principem Car-olum Lotharingum Cardinalem,Leiden_1599
Elements but not Geometry/Theory primary,Geneva_1611,1611,Geneva,FRENCH,D’ÉTAPLES,books_1_6,,Traduicts | dediés | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | du Mans | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | AVEC LES DEMONSTRA- tions | LES DEMONSTRATIONS DE IACQVES PELETIER du Mans | LES DEMONSTRATIONS DE IACQVES PELETIER | françois | EVCLIDE,du Mans | Noblesse françoise,Geneva_1611 | Geneva_1628
Elements with practical/instrument/social utility signals,Amsterdam_1616,1616,Amsterdam,DUTCH,DOU,books_1_6,Practical Geometry | Theoretical Mathematics,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren | EVCLIDIS","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer",Amsterdam_1616
Elements with practical/instrument/social utility signals,Amsterdam_1626,1626,Amsterdam,DUTCH,DOU,books_1_6,,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer,Amsterdam_1626
Elements with practical/instrument/social utility signals,Rotterdam_1632,1632,Rotterdam,DUTCH,DOU,books_1_6,Practical Geometry,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | eenighe nut-tigheden | Specien in Geometrische figueren | byghevoeghde nut-tigheden | EVCLIDIS,van alle leergierighe lief hebbers der selver vryer Konste | der stadt Leyden Lant-meter ende Wijnroeyer,Rotterdam_1632
Elements with practical/instrument/social utility signals,Leiden_1607,1607,Leiden,DUTCH,DOU,books_1_6,Practical Geometry,"gevoecht | Overgheset | verclaert | uytgheleyt | alle leergierige, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fonda-menten der Geometri | der stadt Leyden Lantmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | by gevoecht sijn eenige nutticheden, uyt de selve Boecken ghetrocken | Mitsgaders de Specien in Geometrische figuren, als ’tmaecken, veranderen, ’t samenvougen, aftrecken, ver-menichvuldigen, ende deelen | Overgheset, verclaert, ende uytgheleyt | EVCLIDIS","alle leergierige, liefhebbers der selver vryer Conste | der stadt Leyden Lantmeter ende Wijnroeyer",Leiden_1607
Elements with practical/instrument/social utility signals,Oxford_London_1700,1700,"Oxford, London",ENGLISH,CLAVIUS,books_1_6_plus_solids,,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Together with The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,Oxford_London_1700
Elements with practical/instrument/social utility signals,Livorno_1709,1709,Livorno,LATIN,MISSING,books_1_6,Theoretical Mathematics,"REFORMATUS | exponuntur | demonstrantur | EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS | In quo tum alia pleraque, cum præcipuè Rationis, & Proportionis Natura, & proprietates Nova Methodo Clarius, quam antea ab aliis, atque facilius exponuntur, firmiusque, ac evidentius demonstrantur | REFORMATUS | REGIÆ CELSITUDINIS FERDINANDI HETRURIÆ PRINCIPIS MATHEMATICO | Ac in Alma Pisana UNIVERSITATE Scientiarum Mechanicarum Professore | EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS | EUCLIDES",Alma Pisana UNIVERSITATE | REGIÆ CELSITUDINIS FERDINANDI HETRURIÆ PRINCIPIS MATHEMATICO | Ac in Alma Pisana UNIVERSITATE Scientiarum Mechanicarum Professore,Livorno_1709
Elements with practical/instrument/social utility signals,London_1789,1789,London,ENGLISH,MISSING,books_1_6_plus_solids,Theoretical Mathematics,"CONTAINING | ELEMENTS OF   GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF   GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH",London_1789
Elements with practical/instrument/social utility signals,London_1680–81,1680/1681,London,ENGLISH,HÉRIGONE/BARROW,books_1_6_plus_solids,Arithmetic | Astronomy | Cartography | Cosmography | Geography | Navigation | Practical Geometry | Theoretical Mathematics | Trigonometry,"CONTAIN-ING | Composed | demonstrated | the first Six Books of Euclid’s ELEMENTS | as also the Eleventh and Twelfth, symbolically demonstrated | Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY | the first Six Books of Euclid’s ELEMENTS | Euclid’s ELEMENTS","Royal Foundation of the Mathematical SCHOOL | ROYAL SOCIETY | Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY",London_1680–81
Elements with practical/instrument/social utility signals,Paris_1690,1690,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1690
Elements with practical/instrument/social utility signals,London_1696,1696,London,ENGLISH,CLAVIUS,books_1_6_plus_solids,Theoretical Mathematics,"Explain’d | Written | made | Cor-rected | THE ELEMENTS OF EUCLID | in a New, but most Easie method | The Second Edition | Now made English, and a multitude of Errors Cor-rected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | The Use of every Proposition through all parts of the Mathematicks | The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,London_1696
Elements with practical/instrument/social utility signals,Amsterdam_1700,1700,Amsterdam,FRENCH,CLAVIUS,books_1_6_plus_solids,Theoretical Mathematics,EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | P,Amsterdam_1700
Elements with practical/instrument/social utility signals,Venice_1505,1505,Venice,LATIN,ZAMBERTI/GRYNAEUS (THEON),near_complete_or_expanded,Theoretical Mathematics,sumpta | addita | subuersa | voluta | ordinata | digesta | castigata | addita | subuersa | prepostere | voluta | ordinata | digesta | castigata | adiuncta | quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat-  icam substantiam aspirant | elementorum libros. xiij | cum expositione Theonis insignis mathematici | voluta in Campani interpretatione: ordinata digesta et castigata | voluta in Campani interpretatione | ordinata digesta et castigata | Interprete | Theonis | Hypsi | Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Theonis | Hypsi. Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Socratico philosopho | elementorum libros. xiij | multa quae deerant ex lectione graeca | addita | subuersa | adiuncta | cum expositione Hypsi. Alex | Itidemque et Phaeno | Specu. et Perspe | cum expositione Theonis | ille liber Datorum cum expositione Pappi Mechanici | vna cum Marini dialectici protheoria | expositione Theonis insignis mathematici | expositione Hypsi. Alex | Phaeno. Specu. et Perspe. cum expositione Theonis | ille liber Datorum cum expositione Pappi Mechanici vna cum Marini dialectici protheoria | Hypsi | Alex | Phaeno | Specu | Perspe | Datorum | Pappi Mechanici | Marini dialectici protheoria | Theonis | Hypsi. Alex | Phaeno. Specu. et Perspe | Datorum | Euclidis megarensis philosophi platonicj Mathematicarum disciplinarum Ianitoris | Euclidis Megarensis philosophi platonicj Mathematicarum disci-plinarum Ianitoris | Euclidis | Euclidi,quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat-  icam substantiam aspirant | Interprete | Theonis | Hypsi | Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Theonis | Hypsi. Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Socratico philosopho,Venice_1505 | Venice_1510
Elements with practical/instrument/social utility signals,London_1651,1651,London,ENGLISH,DOU,books_1_6,Theoretical Mathematics,contracted | Demonstrated | added | EUCLIDES ELEMENTS OF GEOMETRY: The first VI Books | OF GEOMETRY | Captain | Chiefe Engineer to his late Majesty | MR. JOHN DEE | EUCLIDES ELEMENTS OF GEOMETRY | The Mathematicall Preface of MR. JOHN DEE | EUCLIDES,Captain | Chiefe Engineer to his late Majesty | MR. JOHN DEE,London_1651
Elements with practical/instrument/social utility signals,Paris_1682,1682,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1682
Elements with practical/instrument/social utility signals,Paris_1683,1683,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,EXPLIQUEZ | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1683
