classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
ustc-9,1626,Paris,FRENCH,Luis Ballester,Arithmetic,Arithmetic/Commerce,False,False,False,0.6164250781575908,15,adiouſté | ARITHMETIQVE LOGARITHMETIQVE | La Construćtion & Vſage des Ta- bles Logarithmetiques | Gentil-homme Anglois | adiouſté,Gentil-homme Anglois
bib-207,1669,Dordrecht,DUTCH,Mattheus van Nispen,Practical Geometry | Surveying,Geometry/Theory | Instruments/Measurement,False,False,False,0.6158423645019967,18,"gestelt | vermeerdert | gesuyvert | gevoeght | Geadmitteert | voor Leerlingen en Jonge Practisijns | voor alle Liefhebbers | voor alle Lief-hebbers van Geometrische speculatien | De Beknopte LANT-MEET-KONST | Leerende In’t korte, alles wat in’t gemeen, in de Practijcke des Landt-meetens voor-komen kan | Den tweeden druck: in vele plaetsen vermeerdert, en van voorgaende fauten gesuyvert | het Tractaet van de Landt-maeten | het Tractaet van de Landt-maeten | Tractaet van de Landt-maeten",voor Leerlingen en Jonge Practisijns | voor alle Liefhebbers | voor alle Lief-hebbers van Geometrische speculatien
MorisS-22-6,1657,Paris,FRENCH,Jean Baptiste Morin,Theoretical Mathematics | Trigonometry,Geometry/Theory,False,False,False,0.6148838365877674,24,"Divisée | SVIVIS | contenant | DEDIE | TRIGONOMETRIE CANONIQVE | Divisée en trois Livres | de Villefranche en Beaujollois, Docteur en Medecine, & Professeur du Roy aux Mathematiques à Paris | les Tables des logarithmes | AVSQVELS LA THEORIE ET PRATIQVE des Triangles plans & spheriques | SVIVIS D’VN QVATRIEME LIVRE, contenant les Tables des logarithmes pour le calcul; à sçavoir leur construction, & leur usage tres-ample & facile | AVSQVELS LA THEORIE ET PRATIQVE | SVIVIS D’VN QVATRIEME LIVRE","des Mines de France | de Villefranche en Beaujollois, Docteur en Medecine, & Professeur du Roy aux Mathematiques à Paris | TRES-ILLVSTRE ET GENEREX SEIGNEVR Messire Martin Rvze, Marquis d’Effiat et de Longemeau, Conseiller du Roy en son Conseil d’Estat, Grand Maistre des Mines de France, & Gouverneur de la Province de Bourbonnois"
YQDZSW,1565,Paris,FRENCH,Pierre Forcadel,Mechanics,Applied Mechanics/Military,False,False,False,0.6140170582039796,15,"Traduict | commenté | LE PREMIER LIVRE D'ARCHIMEDE DES CHOSES EGALEMENT PESANTES | lecteur ordi- naire du Roy és Mathema- tiques, en l'vniuerfité de Paris","l'vniuerfité de Paris | lecteur ordi- naire du Roy és Mathema- tiques, en l'vniuerfité de Paris"
bib-30,1627,Zurich,GERMAN,Johann Ardüser,Practical Geometry | Theoretical Mathematics,Geometry/Theory,True,True,False,0.6137210067188477,18,"Allen Baw- und Kriegs verstendigen, Feldmessern | Geometriae, Theoricae Et Practicae. XII. Bücher | Inn welchen die Geometrischen Fundament Euclidis, unnd der selben gebrauch, auff das kürtzest, unnd leichtest, als in einem Handbuch beschriben werden | Geometriae, Theoricae Et Practicae. XII. Bücher | Euclidis","Allen Baw- und Kriegs verstendigen, Feldmessern"
bib-51,1643,Paris,FRENCH,Georges Fournier,Navigation,Cosmos/Earth,False,False,False,0.612599030472561,19,"Composé | CONTENANT | HYDROGRAPHIE | LA THEORIE ET LA PRACTIQVE DE TOVTES LES PARTIES DE LA NAVIGATION | de la Compagnie de IESVS, Mathematicien","Compagnie de IESVS | de la Compagnie de IESVS, Mathematicien"
bib-38,1673,Nuremberg,GERMAN,Bernhard Cantzler,Practical Geometry,Geometry/Theory,False,False,False,0.6115677915930293,22,"SUMMA GEOMETRICÆ PRACTICÆ | worinnen erstlich Bernhard Canslers kurtzer und leichter Bericht vom Feldmessen / Auf die insgemein vor andern fürkommende Fäll des Messens und Abtheilens gerichtet. Zum Andern / Unterschiedliche auf heutigen Schlag in Frieden- und Kriegszeiten zu Land und Wasser nützliche | Mach. und Physices bey der Universität Altdorff Professorem | ANNOTATIONES | Arithmetica, Trigonometrica, Graphica und Geographica, Nautica, Aqua ductoria, &c | Additiones und zu Zeiten neue Inventiones &c | ANNOTATIONES | Arithmetica, Trigonometrica, Graphica und Geographica, Nautica, Aqua ductoria, &c | Additiones und zu Zeiten neue Inventiones &c | ANNOTATIONES | Arithmetica | Trigonometrica | Graphica | Geographica | Nautica | Aqua ductoria | Additiones | Inventiones",Universität Altdorff | Mach. und Physices bey der Universität Altdorff Professorem
bib-7,1571,London,ENGLISH,"Leonard Digges, Thomas Digges",Practical Geometry,Geometry/Theory,False,False,False,0.6108163782636125,19,"named | diuided | framed | finished | adioyned | A GEOMETRICAL Practise, named PANTOMETRIA | diuided into three Bookes, Longimetra, Planimetra and Stereometria, containing Rules manifolde for mensuration of all lines, Superficies and Solides: with sundry strange conclusions both by instrument and without, and also by perspectiue glasses, to set forth the true description or exact plat of any whole Region | Gentleman | his sonne | adioyned a Mathematicall treatise of the fiue regulare Platonical solides, and their Metamorphosis or transformation into fiue other equilater and uniforme solides Geometricall, of his owne inuention, hitherto not mentioned of by any geometricians",Gentleman | his sonne
bib-125,1691,Rome,ITALIAN,Giovanni Pomodoro,Practical Geometry,Geometry/Theory,True,True,True,0.6103174576154783,16,Cauata da | Ridotta | à Misuratori | ad Architetti | à Geografi | à Cosmografi | à Bombardieri | à Ingegneri | à Soldati | à Capitani d’Eserciti | gl’elementi d’Euclide | Ridotta in cinquanta Tavole | Matematico | gl’elementi d’Euclide | l’espositione | cinquanta Tavole | Euclide,à Misuratori | ad Architetti | à Geografi | à Cosmografi | à Bombardieri | à Ingegneri | à Soldati | à Capitani d’Eserciti | Matematico | IL SIG CARDINALE IACOMO NINI
bib-5,1585,Paris,FRENCH,Jacques Chauvet,Instrument Use | Practical Geometry,Geometry/Theory | Instruments/Measurement,False,False,False,0.6088606954934863,21,"LA PRATIQVE VNIVER- SELLE DE GEOMETRIE DE IAC- QVES CHAVVET CHAMPENOIS | contenant l’explication de son Cosmomètre & de tous instrumens Geome- triques, auec les figures & démonstrations trè- utiles & necessaires pour l’intelligence d’iceux | Pro- fesseur & Lecteur ordinaire és Mathematiques, en l’Vniuersité de Paris | l’explication de son Cosmomètre & de tous instrumens Geome- triques, auec les figures & démonstrations trè- utiles & necessaires","l’Vniuersité de Paris | Pro- fesseur & Lecteur ordinaire és Mathematiques, en l’Vniuersité de Paris | Messire Anne d’Anglu- re"
