classification_key,metadata_elements_title_page_keys,year,city,language,author_or_editor,publisher,elements_books,natural_dominant_mode,natural_mode_count,rich_claim_text_raw,rich_social_text_raw
Florence_1690,Florence_1690,1690,Florence,ITALIAN,Vincenzio Viviani,Cesare e Francesco Bindi,"1–6, 11–12",pedagogical/method,5,"distesa | pubblicata | ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | OVVERO SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO | Con nuov’ordine distesa, e pubblicata da Vincenzio Viviani ultimo suo Discepolo | GALILEO | ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | D’EVCLIDE | DEGLI ELEMENTI D’EVCLIDE",ACCADEMIA DE’ NOBILI | ILLVSTRISSIMI SIG. DELL’ACCADEMIA DE’ NOBILI | GALILEO
RSEIPO,RSEIPO,1731,Florence,ITALIAN,Guido Grandi,Tartini,"1-6, 11-13",practical-pedagogical,6,"POSTI BREVEMENTE IN VOLGARE | ILLUSTRATI CON VARIE ANNOTAZIONI | STUDIOSA GIOVENTÙ DELLA SUA SCUOLA | ELEMENTI GEOMETRICI PIANI, E SOLIDI DI EUCLIDE | REVERENDISS. PADRE ABATE | CAMALDOLESE | PROFESSORE DI MATTEMATICA | NELL' UNIVERSITA' DI PISA | CARLO ANDREINI | ELEMENTI GEOMETRICI PIANI, E SOLIDI DI EUCLIDE | ILLUSTRATI CON VARIE ANNOTAZIONI | IN VOLGARE | EUCLIDE",STUDIOSA GIOVENTÙ DELLA SUA SCUOLA | UNIVERSITA' DI PISA | SEMINARIO FIORENTINO | REVERENDISS. PADRE ABATE | CAMALDOLESE | PROFESSORE DI MATTEMATICA | NELL' UNIVERSITA' DI PISA | CARLO ANDREINI
Antwerp_1654,Antwerp_1654,1654,Antwerp,LATIN,André Tacquet,Jacob Meursius,"1-6, 11-12",institutional-composite,4,ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOCIETATIS IESV Sacerdote & Matheseos Professore | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore
Lyon_1660,Lyon_1660,1660,Lyon,LATIN,Claude-François Milliet Dechales,Benedictum Coral,"1–6, 11–12",sparse/canonical,3,accommodati | EVCLIDIS ELEMENTORVM Libri octo | Camberiensi Societ. IESV | EVCLIDIS ELEMENTORVM Libri octo | EVCLIDIS,Camberiensi Societ. IESV | Camberiensi Societ. IESV
Antwerp_1665,Antwerp_1665,1665,Antwerp,LATIN,André Tacquet,Jacob Meursius,"1-6, 11-12",institutional-composite,5,ad Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO SECUNDA CORRECTIOR | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | QVIƲS ACCEDVNT SELECTA EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,ad Lectorem | SOCIETATIS IESV | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE
Antwerp_1672,Antwerp_1672,1672,Antwerp,LATIN,André Tacquet,Jacob Meursius,"1–6, 11–12",institutional-composite,5,ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO TERTIA CORRECTIOR | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE
Lyon_1674,Lyon_1674,1674,Lyon,LATIN,Claude-François Milliet Dechales,Anisson,"1–6, 11–12",practical-pedagogical,6,COMPLECTENS | PRODIT | EV- CLIDIS LIBROS OCTO | TOMVS PRIMVS | R. P | CAMBERIENSIS | È SOCIETATE IESV | EV- CLIDIS LIBROS OCTO | ARITHMETICAM | Theodosij sphærica | Trigonometriam | Geometriam practicam | Mechanicam | Staticam | Geographiam vniuersalem | Tractatum de Magnete | Architecturam Ciuilem | Artem tignariam | ARITHMETICAM | Theodosij sphærica | Trigonometriam | Geometriam practicam | Mechanicam | Staticam | Geographiam vniuersalem | Tractatum de Magnete | Architecturam Ciuilem | Artem tignariam | EV- CLIDIS,SOCIETATE IESV | R. P | CAMBERIENSIS | È SOCIETATE IESV
Lyon_1675,Lyon_1675,1675,Lyon,LATIN,Claude-François Milliet Dechales,,"1–6, 11–12",practical-pedagogical,5,"accommodati | ELEMENTORUM EUCLIDIS LIBRI OCTO | TERTIA EDITIO | Cæteris facilior & correctior | Camberiensi, Societ. JESU | ELEMENTORUM EUCLIDIS LIBRI OCTO | EUCLIDIS","Societ. JESU | Camberiensi, Societ. JESU"
Amsterdam_1683,Amsterdam_1683,1683,Amsterdam,LATIN,André Tacquet,Henricum Wetstenium,"1–6, 11–12",institutional-composite,5,accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO NOVA | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA | selecta EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE
Padua_1694,Padua_1694,1694,Padua,LATIN,André Tacquet,,"1–6, 11–12",institutional-composite,5,"ACCEDUNT | INSERTA EST | desumpta | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | QUIBUS ACCEDUNT SELECTA EX ARCHIMEDE THEOREMATA | IN HAC NOVA EDITIONE | SOCIETATIS JESV Sacerdote, & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | Trigonometria plana | Sphærica aliundè desumpta","SOCIETATIS JESV Sacerdote, & Matheseos Professore | ARCHIMEDE"
Amsterdam_1701b,Amsterdam_1701b,1701,Amsterdam,LATIN,André Tacquet,Franciscus van der Plaats,"1–6, 11–12",institutional-composite,4,accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE
Oxford_1701,Oxford_1701,1701,Oxford,LATIN,John Keill,Henry Clements,"1-6, 11-12",humanist/vernacular transfer,5,"Juventutis Academicæ | EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS | Ex Versione Latina FEDERICI COMMANDINI | EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS | Latina | Latina | EUCLIDIS",Juventutis Academicæ
Cambridge_1703,Cambridge_1703,1703,Cambridge,LATIN,"André Tacquet, William Whiston",Cornelius Crownfield,"1–6, 11-12",institutional-composite,5,accedunt | emendata | illustrata | accommodata | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | in hac nova Editione | Summa cura emendata | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,SOC. JESU | CANTABRIGIENSES | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis | ARCHIMEDE
Uppsala_1741,Uppsala_1741,1741,Uppsala,LATIN,Samuel Klingenstierna,Höjer,"1-6, 11-12",sparse/canonical,2,EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES | EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES | EUCLIDIS,
Brussels_1688,Brussels_1688,1688,Brussels,SPANISH,Sebastián Fernández de Medrano,Lamberto Marchant,"1–6, 11–12",practical-pedagogical,5,"Augmentados | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES MEGARENSE | el Capitan | Maestro de Mathematicas | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES | Augmentados de muchas Proposiciones curiosas que facilitan su uso | EUCLIDES","Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan | Maestro de Mathematicas | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan DON SEBASTIAN FERNANDEZ DE MEDRANO, Maestro de Mathematicas"
Brussels_1689,Brussels_1689,1689,Brussels,SPANISH,Jacobo Kresa,Francisco Foppens,"1-6, 11-12",institutional-composite,4,"TRADVCIDOS | EXPLICA-DOS | ELEMENTOS GEOMETRICOS DE EVCLIDES | LOS SEIS PRIMEROS LIBROS DE LOS PLANOS; Y LOS ONZENO, Y DOZENO DE LOS SOLIDOS | DE LA COMPAñIA DE JESVS | Cathedratico de Mathematicas en los Estudios Reales del Colegio Imperial de Madrid; y en interin en la Armada Real en Cadiz | ARCHIMEDES | ELEMENTOS GEOMETRICOS DE EVCLIDES, LOS SEIS PRIMEROS LIBROS DE LOS PLANOS; Y LOS ONZENO, Y DOZENO DE LOS SOLIDOS | CON ALGVNOS SELECTOS THEOREMAS DE ARCHIMEDES | ALGVNOS SELECTOS THEOREMAS DE ARCHIMEDES | THEOREMAS DE ARCHIMEDES | EVCLIDES",COMPAñIA DE JESVS | Colegio Imperial de Madrid | Armada Real en Cadiz | DE LA COMPAñIA DE JESVS | Cathedratico de Mathematicas en los Estudios Reales del Colegio Imperial de Madrid; y en interin en la Armada Real en Cadiz | ARCHIMEDES
Brussels_1701,Brussels_1701,1701,Brussels,SPANISH,Sebastián Fernández de Medrano,Lamberto Marchant,"1–6, 11–12",practical-pedagogical,5,"Amplificado | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Amplificado de nuevas Demonstraciones | FAMOSO PHILOSOPHO EUCLIDES MEGARENSE | EUCLIDES MEGARENSE",Academia Real y Militar de los Payses-Bajos | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | Exmo. Señor Marques de BEDMAR
