comparison_group,bucket,classification_key,year,city,language_first,author_or_editor,natural_dominant_mode,primary_classes,elements_books,rich_claim_text_raw,rich_social_text_raw
plain_1_6,plain 1-6 institutional/composite,Bamberg_1677,1677,Bamberg,LATIN,Gaspar Schott,institutional-composite,Theoretical Mathematics,1–6,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | REGIS -CURIANI, E SOCIETATE JESU | Additis INDICIBUS locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | ejusdem SOCIETATIS IESU Gymnasio Matheseos | REGIS -CURIANI, E SOCIETATE JESU"
plain_1_6,plain 1-6 institutional/composite,Cambridge_1665,1665,Cambridge,LATIN,Georges Fournier,institutional-composite,Theoretical Mathematics,1–6,Accesserunt | EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRI- CORVM LIBRI | Commodiùs demonstrati | Editio prioribus auctior atq; castigatior | Matheseωs Professorem | Theodosii Tripolitæ | EUCLIDIS SEX PRIMI ELEMENTORUM GEOMETRI- CORVM LIBRI | Elementa Astronom-ica | Theodosii Tripolitæ Sphæricorum libri tres | Elementa Astronom-ica | Sphæricorum libri tres | EUCLIDIS,societate JESU | Matheseωs Professorem | Theodosii Tripolitæ
plain_1_6,plain 1-6 institutional/composite,Frankfurt_1674,1674,Frankfurt,LATIN,Gaspar Schott,institutional-composite,,1–6,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | Libros XXVIII | SIVE ABSOLUTA OMNIUM MATHEMATICARUM DISCIPLINARUM ENCYCLOPÆDIA | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS | Additis Indicibus locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | SOCIETATIS JESU Gymnasio Matheseos | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS"
plain_1_6,plain 1-6 institutional/composite,Graz_1636,1636,Graz,LATIN,"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",institutional-composite,,1-6,"contracti | Accessit | EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI CUM PARTE UNDECIMI | Ex majoribus Clavij com-mentarijs in commodiorem formam contracti | è SOCIETATE JESU | HONORATVM DVRANDVM EIVSDEM SOCIETATIS | EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICORUM LIBRI CUM PARTE UNDECIMI | ferme ex Clavio BREVIS TRIGNONOMEtria planorum, cum Tabulis Sinuum, Tangentium, & Secantium, ad partes Radij 100000 per sex prima scrupula graduum | BREVIS TRIGNONOMEtria | EVCLIDIS",SOC IETATE JESU | EIVSDEM SOCIETATIS | è SOCIETATE JESU | HONORATVM DVRANDVM EIVSDEM SOCIETATIS
plain_1_6,plain 1-6 institutional/composite,Lyon_1557,1557,Lyon,LATIN,Jacques Peletier,institutional-composite,,1-6,"auctior | emendatior | additus | contulerit | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | Secunda editio, auctior & emendatior | CENOM | CENOMANI | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | cui & textus Euclidis Græcus additus est | Quid autem præcipuè ad Euclidem contulerit Peletarius | Euclidis Græcus | Græcus | Euclidis | Euclidem | Euclidis","CENOM | CENOMANI | Carolum Lothar-ingum, Principem, Cardinalémque amplissimum | Carolum Lotharingum, Principem, Cardinalemque"
plain_1_6,plain 1-6 institutional/composite,Rome_1655,1655,Rome,LATIN,"Christopher Clavius, Christoph Grienberger",institutional-composite,,1–6,contracti | Accessere | EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM Libri cum parte Vndecimi | Ex maioribus CLAVII Com-mentarijs in commodiorem formam contracti | Ex maioribus CLAVII Com-mentarijs in commodiorem formam contracti | RERVMQVE MATHEMATICARVM | è Societate IESV OPVSCVLVM PRIMVM | CLAVII | ISAACI MONACHI | EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM | ISAACI MONACHI In sex eosdem Libros Scholia | Scholia | EVCLIDIS,Societate IESV OPVSCVLVM PRIMVM | RERVMQVE MATHEMATICARVM | è Societate IESV OPVSCVLVM PRIMVM | CLAVII | ISAACI MONACHI
plain_1_6,plain 1-6 institutional/composite,Würzburg_1661,1661,Würzburg,LATIN,Gaspar Schott,institutional-composite,,1-6,"digesta | disposita | Accesserunt | quivis, vel mediocri præditus ingenio | REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum ENCYCLOPÆDIA | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | SOCIETATE JESU | SOCIETATIS JESU | Gymnasio Matheseos | REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum ENCYCLOPÆDIA"
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Amsterdam_1683,1683,Amsterdam,LATIN,André Tacquet,institutional-composite,Theoretical Mathematics,"1–6, 11–12",accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO NOVA | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA | selecta EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerdote & Matheseos Professore | ARCHIMEDE
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Amsterdam_1700,1700,Amsterdam,FRENCH,Claude-François Milliet Dechales,practical-pedagogical,Theoretical Mathematics,"1–6, 11–12",EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | P
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Amsterdam_1701b,1701,Amsterdam,LATIN,André Tacquet,institutional-composite,Theoretical Mathematics,"1–6, 11–12",accedunt | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | selecta EX ARCHIMEDE THEOREMATA,SOC. JESU | SOC. JESU Sacerd. & Matheseos Professore | ARCHIMEDE
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Antwerp_1654,1654,Antwerp,LATIN,André Tacquet,institutional-composite,Theoretical Mathematics,"1-6, 11-12",ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SOCIETATIS IESV Sacerdote & Matheseos Professore | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore
