field,value,n,outcome,label,count,pct,overall_pct,delta_vs_overall,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score
city,Seville,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,2.0,13.0,6.6
city,Seville,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,2.0,13.0,6.6
city,Seville,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,2.0,13.0,6.6
city,Siena,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,3.0,12.0,8.4
city,Siena,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,3.0,12.0,8.4
city,Siena,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,3.0,12.0,8.4
city,Strasbourg,13,mode_sparse_canonical,Natural sparse/canonical mode,4,30.8,15.4,15.4,2.85,0.77,10.38,5.69
city,Strasbourg,13,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.85,0.77,10.38,5.69
city,Strasbourg,13,no_visible_social_arena,No visible social arena,8,61.5,43.7,17.8,2.85,0.77,10.38,5.69
city,The Hague,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,0.0,8.5,3.7
city,The Hague,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,0.0,8.5,3.7
city,The Hague,2,no_visible_social_arena,No visible social arena,2,100.0,43.7,56.3,2.0,0.0,8.5,3.7
city,Uppsala,3,mode_sparse_canonical,Natural sparse/canonical mode,2,66.7,15.4,51.3,2.67,0.67,8.67,5.07
city,Uppsala,3,sparse_canonical_identity,Sparse-canonical archetype,2,66.7,6.6,60.0,2.67,0.67,8.67,5.07
city,Uppsala,3,no_visible_social_arena,No visible social arena,2,66.7,43.7,23.0,2.67,0.67,8.67,5.07
city,Urbino,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,6.0,1.0,16.0,10.2
city,Urbino,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,6.0,1.0,16.0,10.2
city,Urbino,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,6.0,1.0,16.0,10.2
city,Utrecht,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,2.0,1.0,14.0,5.8
city,Utrecht,1,sparse_canonical_identity,Sparse-canonical archetype,1,100.0,6.6,93.4,2.0,1.0,14.0,5.8
city,Utrecht,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,1.0,14.0,5.8
city,Venice,13,mode_sparse_canonical,Natural sparse/canonical mode,3,23.1,15.4,7.7,2.69,0.77,9.23,5.31
city,Venice,13,sparse_canonical_identity,Sparse-canonical archetype,2,15.4,6.6,8.7,2.69,0.77,9.23,5.31
city,Venice,13,no_visible_social_arena,No visible social arena,7,53.8,43.7,10.1,2.69,0.77,9.23,5.31
city,Vicenza,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,0.0,0.0,0.0
city,Vicenza,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,0.0,0.0,0.0
city,Vicenza,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,0.0,0.0,0.0,0.0
city,Vienna,2,mode_sparse_canonical,Natural sparse/canonical mode,1,50.0,15.4,34.6,1.5,0.5,11.0,4.2
city,Vienna,2,sparse_canonical_identity,Sparse-canonical archetype,1,50.0,6.6,43.4,1.5,0.5,11.0,4.2
city,Vienna,2,no_visible_social_arena,No visible social arena,1,50.0,43.7,6.3,1.5,0.5,11.0,4.2
city,Wittenberg,3,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,2.33,11.0,8.53
city,Wittenberg,3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,2.33,11.0,8.53
city,Wittenberg,3,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.0,2.33,11.0,8.53
city,Würzburg,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,4.0,11.0,8.2
city,Würzburg,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,4.0,11.0,8.2
city,Würzburg,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,4.0,11.0,8.2
city,missing/unknown,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,0.0,0.0,0.0
city,missing/unknown,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,0.0,0.0,0.0
city,missing/unknown,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,0.0,0.0,0.0,0.0
format_group,18,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,2.0,0.0,10.0,4.0
format_group,18,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,0.0,10.0,4.0
format_group,18,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,2.0,0.0,10.0,4.0
format_group,6,5,mode_sparse_canonical,Natural sparse/canonical mode,2,40.0,15.4,24.6,2.8,0.2,9.6,4.92
format_group,6,5,sparse_canonical_identity,Sparse-canonical archetype,1,20.0,6.6,13.4,2.8,0.2,9.6,4.92
format_group,6,5,no_visible_social_arena,No visible social arena,4,80.0,43.7,36.3,2.8,0.2,9.6,4.92
format_group,duodecimo,30,mode_sparse_canonical,Natural sparse/canonical mode,5,16.7,15.4,1.3,4.4,0.93,11.4,7.61
format_group,duodecimo,30,sparse_canonical_identity,Sparse-canonical archetype,2,6.7,6.6,0.0,4.4,0.93,11.4,7.61
format_group,duodecimo,30,no_visible_social_arena,No visible social arena,9,30.0,43.7,-13.7,4.4,0.93,11.4,7.61
format_group,folio,54,mode_sparse_canonical,Natural sparse/canonical mode,5,9.3,15.4,-6.1,3.67,1.04,11.72,7.05
format_group,folio,54,sparse_canonical_identity,Sparse-canonical archetype,3,5.6,6.6,-1.1,3.67,1.04,11.72,7.05
format_group,folio,54,no_visible_social_arena,No visible social arena,25,46.3,43.7,2.6,3.67,1.04,11.72,7.05
format_group,missing/unknown,18,mode_sparse_canonical,Natural sparse/canonical mode,6,33.3,15.4,17.9,2.94,0.78,9.5,5.62
format_group,missing/unknown,18,sparse_canonical_identity,Sparse-canonical archetype,4,22.2,6.6,15.6,2.94,0.78,9.5,5.62
format_group,missing/unknown,18,no_visible_social_arena,No visible social arena,12,66.7,43.7,23.0,2.94,0.78,9.5,5.62
format_group,octavo,111,mode_sparse_canonical,Natural sparse/canonical mode,17,15.3,15.4,-0.1,4.3,1.19,11.0,7.69
format_group,octavo,111,sparse_canonical_identity,Sparse-canonical archetype,7,6.3,6.6,-0.3,4.3,1.19,11.0,7.69
format_group,octavo,111,no_visible_social_arena,No visible social arena,46,41.4,43.7,-2.3,4.3,1.19,11.0,7.69
format_group,quarto,67,mode_sparse_canonical,Natural sparse/canonical mode,8,11.9,15.4,-3.4,3.37,1.27,11.27,6.9
format_group,quarto,67,sparse_canonical_identity,Sparse-canonical archetype,2,3.0,6.6,-3.7,3.37,1.27,11.27,6.9
format_group,quarto,67,no_visible_social_arena,No visible social arena,28,41.8,43.7,-1.9,3.37,1.27,11.27,6.9
elements_books_group,books_1_13,5,mode_sparse_canonical,Natural sparse/canonical mode,2,40.0,15.4,24.6,3.6,1.2,11.2,7.04
elements_books_group,books_1_13,5,sparse_canonical_identity,Sparse-canonical archetype,1,20.0,6.6,13.4,3.6,1.2,11.2,7.04
elements_books_group,books_1_13,5,no_visible_social_arena,No visible social arena,3,60.0,43.7,16.3,3.6,1.2,11.2,7.04
elements_books_group,books_1_6,81,mode_sparse_canonical,Natural sparse/canonical mode,19,23.5,15.4,8.1,3.86,1.1,11.1,7.18
elements_books_group,books_1_6,81,sparse_canonical_identity,Sparse-canonical archetype,6,7.4,6.6,0.8,3.86,1.1,11.1,7.18
elements_books_group,books_1_6,81,no_visible_social_arena,No visible social arena,37,45.7,43.7,2.0,3.86,1.1,11.1,7.18
elements_books_group,books_1_6_plus_solids,39,mode_sparse_canonical,Natural sparse/canonical mode,4,10.3,15.4,-5.1,4.54,1.69,11.95,8.62
elements_books_group,books_1_6_plus_solids,39,sparse_canonical_identity,Sparse-canonical archetype,2,5.1,6.6,-1.5,4.54,1.69,11.95,8.62
elements_books_group,books_1_6_plus_solids,39,no_visible_social_arena,No visible social arena,7,17.9,43.7,-25.8,4.54,1.69,11.95,8.62
elements_books_group,mixed_or_other_books,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,2.0,15.0,9.0
elements_books_group,mixed_or_other_books,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,2.0,15.0,9.0
elements_books_group,mixed_or_other_books,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.0,2.0,15.0,9.0
elements_books_group,near_complete_or_expanded,67,mode_sparse_canonical,Natural sparse/canonical mode,6,9.0,15.4,-6.4,4.55,0.76,12.37,7.79
elements_books_group,near_complete_or_expanded,67,sparse_canonical_identity,Sparse-canonical archetype,3,4.5,6.6,-2.2,4.55,0.76,12.37,7.79
elements_books_group,near_complete_or_expanded,67,no_visible_social_arena,No visible social arena,35,52.2,43.7,8.5,4.55,0.76,12.37,7.79
elements_books_group,near_complete_or_expanded_enunciations,7,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.43,0.43,10.57,6.97
elements_books_group,near_complete_or_expanded_enunciations,7,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.43,0.43,10.57,6.97
elements_books_group,near_complete_or_expanded_enunciations,7,no_visible_social_arena,No visible social arena,5,71.4,43.7,27.7,4.43,0.43,10.57,6.97
elements_books_group,partial_from_book_1,8,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.25,1.0,9.88,6.22
elements_books_group,partial_from_book_1,8,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.25,1.0,9.88,6.22
elements_books_group,partial_from_book_1,8,no_visible_social_arena,No visible social arena,4,50.0,43.7,6.3,3.25,1.0,9.88,6.22
elements_books_group,selected_later_books,21,mode_sparse_canonical,Natural sparse/canonical mode,3,14.3,15.4,-1.1,2.86,1.0,10.19,5.9
elements_books_group,selected_later_books,21,sparse_canonical_identity,Sparse-canonical archetype,1,4.8,6.6,-1.9,2.86,1.0,10.19,5.9
elements_books_group,selected_later_books,21,no_visible_social_arena,No visible social arena,10,47.6,43.7,3.9,2.86,1.0,10.19,5.9
elements_books_group,selected_later_books_enunciations,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,2.0,8.0,5.6
elements_books_group,selected_later_books_enunciations,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,2.0,8.0,5.6
elements_books_group,selected_later_books_enunciations,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,2.0,8.0,5.6
elements_books_group,unknown_books,56,mode_sparse_canonical,Natural sparse/canonical mode,10,17.9,15.4,2.5,2.96,1.21,9.64,6.11
elements_books_group,unknown_books,56,sparse_canonical_identity,Sparse-canonical archetype,6,10.7,6.6,4.1,2.96,1.21,9.64,6.11
elements_books_group,unknown_books,56,no_visible_social_arena,No visible social arena,24,42.9,43.7,-0.8,2.96,1.21,9.64,6.11
primary_subject_family,Applied Mechanics/Military,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,3.0,7.0,4.4
primary_subject_family,Applied Mechanics/Military,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,3.0,7.0,4.4
primary_subject_family,Applied Mechanics/Military,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,0.0,3.0,7.0,4.4
primary_subject_family,Arithmetic/Commerce,3,mode_sparse_canonical,Natural sparse/canonical mode,1,33.3,15.4,17.9,2.33,0.33,9.33,4.53
primary_subject_family,Arithmetic/Commerce,3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.33,0.33,9.33,4.53
primary_subject_family,Arithmetic/Commerce,3,no_visible_social_arena,No visible social arena,2,66.7,43.7,23.0,2.33,0.33,9.33,4.53
primary_subject_family,Arithmetic/Commerce | Music,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,1.0,5.0,5.0
primary_subject_family,Arithmetic/Commerce | Music,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,1.0,5.0,5.0
primary_subject_family,Arithmetic/Commerce | Music,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,1.0,5.0,5.0
primary_subject_family,Cosmos/Earth,6,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.33,1.83,13.5,8.87
primary_subject_family,Cosmos/Earth,6,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.33,1.83,13.5,8.87
primary_subject_family,Cosmos/Earth,6,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.33,1.83,13.5,8.87
primary_subject_family,Geometry/Theory,157,mode_sparse_canonical,Natural sparse/canonical mode,25,15.9,15.4,0.5,4.02,1.16,11.6,7.5
primary_subject_family,Geometry/Theory,157,sparse_canonical_identity,Sparse-canonical archetype,12,7.6,6.6,1.0,4.02,1.16,11.6,7.5
primary_subject_family,Geometry/Theory,157,no_visible_social_arena,No visible social arena,67,42.7,43.7,-1.0,4.02,1.16,11.6,7.5
primary_subject_family,Geometry/Theory | Arithmetic/Commerce,7,mode_sparse_canonical,Natural sparse/canonical mode,1,14.3,15.4,-1.1,2.86,1.29,11.43,6.43
primary_subject_family,Geometry/Theory | Arithmetic/Commerce,7,sparse_canonical_identity,Sparse-canonical archetype,1,14.3,6.6,7.6,2.86,1.29,11.43,6.43
primary_subject_family,Geometry/Theory | Arithmetic/Commerce,7,no_visible_social_arena,No visible social arena,2,28.6,43.7,-15.1,2.86,1.29,11.43,6.43
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,4.0,11.0,11.2
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,4.0,11.0,11.2
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,5.0,4.0,11.0,11.2
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Music,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,7.0,1.0,12.0,10.4
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Music,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,7.0,1.0,12.0,10.4
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Music,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,7.0,1.0,12.0,10.4
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,0.0,3.0,0.6
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,0.0,3.0,0.6
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,0.0,0.0,3.0,0.6
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth | Applied Mechanics/Military,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,1.0,12.0,7.4
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth | Applied Mechanics/Military,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,1.0,12.0,7.4
primary_subject_family,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth | Applied Mechanics/Military,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.0,1.0,12.0,7.4
primary_subject_family,Geometry/Theory | Cosmos/Earth,6,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.17,0.17,8.67,5.07
primary_subject_family,Geometry/Theory | Cosmos/Earth,6,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.17,0.17,8.67,5.07
primary_subject_family,Geometry/Theory | Cosmos/Earth,6,no_visible_social_arena,No visible social arena,5,83.3,43.7,39.6,3.17,0.17,8.67,5.07
primary_subject_family,Geometry/Theory | Instruments/Measurement,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,1.0,0.0,4.0,1.8
primary_subject_family,Geometry/Theory | Instruments/Measurement,1,sparse_canonical_identity,Sparse-canonical archetype,1,100.0,6.6,93.4,1.0,0.0,4.0,1.8
primary_subject_family,Geometry/Theory | Instruments/Measurement,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,1.0,0.0,4.0,1.8
primary_subject_family,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,2.0,12.0,7.4
primary_subject_family,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,2.0,12.0,7.4
primary_subject_family,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,2.0,12.0,7.4
primary_subject_family,Geometry/Theory | Visual/Spatial Arts,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,1.0,13.0,7.6
primary_subject_family,Geometry/Theory | Visual/Spatial Arts,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,1.0,13.0,7.6
primary_subject_family,Geometry/Theory | Visual/Spatial Arts,2,no_visible_social_arena,No visible social arena,1,50.0,43.7,6.3,4.0,1.0,13.0,7.6
primary_subject_family,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,0.0,7.0,3.4
primary_subject_family,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,0.0,7.0,3.4
primary_subject_family,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,2.0,0.0,7.0,3.4
primary_subject_family,Instruments/Measurement | Cosmos/Earth,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,2.0,16.0,9.2
primary_subject_family,Instruments/Measurement | Cosmos/Earth,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,2.0,16.0,9.2
primary_subject_family,Instruments/Measurement | Cosmos/Earth,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.0,2.0,16.0,9.2
primary_subject_family,Music,3,mode_sparse_canonical,Natural sparse/canonical mode,1,33.3,15.4,17.9,2.33,1.33,10.0,5.67
primary_subject_family,Music,3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.33,1.33,10.0,5.67
primary_subject_family,Music,3,no_visible_social_arena,No visible social arena,2,66.7,43.7,23.0,2.33,1.33,10.0,5.67
primary_subject_family,No primary family,88,mode_sparse_canonical,Natural sparse/canonical mode,13,14.8,15.4,-0.6,3.9,0.98,10.52,6.98
primary_subject_family,No primary family,88,sparse_canonical_identity,Sparse-canonical archetype,5,5.7,6.6,-1.0,3.9,0.98,10.52,6.98
primary_subject_family,No primary family,88,no_visible_social_arena,No visible social arena,41,46.6,43.7,2.9,3.9,0.98,10.52,6.98
primary_subject_family,Visual/Spatial Arts,3,mode_sparse_canonical,Natural sparse/canonical mode,1,33.3,15.4,17.9,3.0,2.0,12.67,7.53
primary_subject_family,Visual/Spatial Arts,3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,2.0,12.67,7.53
primary_subject_family,Visual/Spatial Arts,3,no_visible_social_arena,No visible social arena,1,33.3,43.7,-10.4,3.0,2.0,12.67,7.53
primary_subject_family,Visual/Spatial Arts | Cosmos/Earth | Music,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,3.0,0.0,9.0,4.8
primary_subject_family,Visual/Spatial Arts | Cosmos/Earth | Music,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,0.0,9.0,4.8
primary_subject_family,Visual/Spatial Arts | Cosmos/Earth | Music,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,3.0,0.0,9.0,4.8
any_school_or_institution,0,170,mode_sparse_canonical,Natural sparse/canonical mode,40,23.5,15.4,8.1,3.39,0.42,10.21,5.85
any_school_or_institution,0,170,sparse_canonical_identity,Sparse-canonical archetype,16,9.4,6.6,2.8,3.39,0.42,10.21,5.85
any_school_or_institution,0,170,no_visible_social_arena,No visible social arena,122,71.8,43.7,28.1,3.39,0.42,10.21,5.85
any_school_or_institution,1,116,mode_sparse_canonical,Natural sparse/canonical mode,4,3.4,15.4,-11.9,4.53,2.11,12.45,9.14
any_school_or_institution,1,116,sparse_canonical_identity,Sparse-canonical archetype,3,2.6,6.6,-4.1,4.53,2.11,12.45,9.14
any_school_or_institution,1,116,no_visible_social_arena,No visible social arena,3,2.6,43.7,-41.1,4.53,2.11,12.45,9.14
pedagogical_school_arena,0,219,mode_sparse_canonical,Natural sparse/canonical mode,42,19.2,15.4,3.8,3.71,0.66,10.65,6.5
pedagogical_school_arena,0,219,sparse_canonical_identity,Sparse-canonical archetype,17,7.8,6.6,1.1,3.71,0.66,10.65,6.5
pedagogical_school_arena,0,219,no_visible_social_arena,No visible social arena,125,57.1,43.7,13.4,3.71,0.66,10.65,6.5
pedagogical_school_arena,1,67,mode_sparse_canonical,Natural sparse/canonical mode,2,3.0,15.4,-12.4,4.33,2.55,12.64,9.41
pedagogical_school_arena,1,67,sparse_canonical_identity,Sparse-canonical archetype,2,3.0,6.6,-3.7,4.33,2.55,12.64,9.41
pedagogical_school_arena,1,67,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.33,2.55,12.64,9.41
religious_institutional_arena,0,226,mode_sparse_canonical,Natural sparse/canonical mode,43,19.0,15.4,3.6,3.67,0.88,10.79,6.71
religious_institutional_arena,0,226,sparse_canonical_identity,Sparse-canonical archetype,18,8.0,6.6,1.3,3.67,0.88,10.79,6.71
religious_institutional_arena,0,226,no_visible_social_arena,No visible social arena,125,55.3,43.7,11.6,3.67,0.88,10.79,6.71
religious_institutional_arena,1,60,mode_sparse_canonical,Natural sparse/canonical mode,1,1.7,15.4,-13.7,4.55,1.95,12.37,8.97
religious_institutional_arena,1,60,sparse_canonical_identity,Sparse-canonical archetype,1,1.7,6.6,-5.0,4.55,1.95,12.37,8.97
religious_institutional_arena,1,60,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.55,1.95,12.37,8.97
