subject,n_primary,feature,count,pct
Mechanics,24,audience,5,20.8
Mechanics,24,base_content,9,37.5
Mechanics,24,bound_with,5,20.8
Mechanics,24,bound_with_minimal,5,20.8
Mechanics,24,content_description,7,29.2
Mechanics,24,date_in_imprint,22,91.7
Mechanics,24,dedicatee_name,3,12.5
Mechanics,24,description_of_euclid,0,0.0
Mechanics,24,destination_language,2,8.3
Mechanics,24,edition_details,5,20.8
Mechanics,24,editor_description,16,66.7
Mechanics,24,editor_name,18,75.0
Mechanics,24,educational_authorities_references,1,4.2
Mechanics,24,elements_designation,3,12.5
Mechanics,24,enriched_with,11,45.8
Mechanics,24,institutions,13,54.2
Mechanics,24,location_in_imprint,21,87.5
Mechanics,24,origin_language,1,4.2
Mechanics,24,printing_privilege,0,0.0
Mechanics,24,publisher_in_imprint,21,87.5
Mechanics,24,references_to_euclid,3,12.5
Military Engineering,34,action_verbs,25,73.5
Military Engineering,34,audience,15,44.1
Military Engineering,34,base_content,11,32.4
Military Engineering,34,bound_with,9,26.5
Military Engineering,34,bound_with_minimal,9,26.5
Military Engineering,34,content_description,14,41.2
Military Engineering,34,date_in_imprint,28,82.4
Military Engineering,34,dedicatee_name,9,26.5
Military Engineering,34,description_of_euclid,0,0.0
Military Engineering,34,destination_language,1,2.9
Military Engineering,34,edition_details,12,35.3
Military Engineering,34,editor_description,21,61.8
Military Engineering,34,editor_name,26,76.5
Military Engineering,34,educational_authorities_references,4,11.8
Military Engineering,34,elements_designation,2,5.9
Military Engineering,34,enriched_with,13,38.2
Military Engineering,34,institutions,6,17.6
Military Engineering,34,location_in_imprint,28,82.4
Military Engineering,34,origin_language,0,0.0
Military Engineering,34,printing_privilege,6,17.6
Military Engineering,34,publisher_in_imprint,27,79.4
Military Engineering,34,references_to_euclid,2,5.9
Music Theory,18,action_verbs,12,66.7
Music Theory,18,audience,3,16.7
Music Theory,18,base_content,8,44.4
Music Theory,18,bound_with,5,27.8
Music Theory,18,bound_with_minimal,5,27.8
Music Theory,18,content_description,4,22.2
Music Theory,18,date_in_imprint,12,66.7
Music Theory,18,dedicatee_name,2,11.1
Music Theory,18,description_of_euclid,0,0.0
Music Theory,18,destination_language,2,11.1
Music Theory,18,edition_details,5,27.8
Music Theory,18,editor_description,8,44.4
Music Theory,18,editor_name,14,77.8
Music Theory,18,educational_authorities_references,3,16.7
Music Theory,18,elements_designation,3,16.7
Music Theory,18,enriched_with,4,22.2
Music Theory,18,institutions,7,38.9
Music Theory,18,location_in_imprint,14,77.8
Music Theory,18,origin_language,1,5.6
Music Theory,18,printing_privilege,0,0.0
Music Theory,18,publisher_in_imprint,14,77.8
Music Theory,18,references_to_euclid,3,16.7
Navigation,8,action_verbs,6,75.0
Navigation,8,audience,3,37.5
Navigation,8,base_content,3,37.5
Navigation,8,bound_with,1,12.5
Navigation,8,bound_with_minimal,1,12.5
Navigation,8,content_description,3,37.5
Navigation,8,date_in_imprint,8,100.0
Navigation,8,dedicatee_name,2,25.0
Navigation,8,description_of_euclid,0,0.0
Navigation,8,destination_language,0,0.0
Navigation,8,edition_details,0,0.0
Navigation,8,editor_description,6,75.0
Navigation,8,editor_name,8,100.0
Navigation,8,educational_authorities_references,1,12.5
Navigation,8,elements_designation,2,25.0
Navigation,8,enriched_with,4,50.0
Navigation,8,institutions,5,62.5
Navigation,8,location_in_imprint,8,100.0
Navigation,8,origin_language,0,0.0
Navigation,8,printing_privilege,0,0.0
Navigation,8,publisher_in_imprint,8,100.0
Navigation,8,references_to_euclid,1,12.5
Perspective,75,action_verbs,33,44.0
Perspective,75,audience,25,33.3
Perspective,75,base_content,26,34.7
Perspective,75,bound_with,10,13.3
Perspective,75,bound_with_minimal,10,13.3
Perspective,75,content_description,18,24.0
Perspective,75,date_in_imprint,46,61.3
Perspective,75,dedicatee_name,13,17.3
Perspective,75,description_of_euclid,0,0.0
Perspective,75,destination_language,5,6.7
Perspective,75,edition_details,5,6.7
Perspective,75,editor_description,35,46.7
Perspective,75,editor_name,56,74.7
Perspective,75,educational_authorities_references,8,10.7
Perspective,75,elements_designation,6,8.0
Perspective,75,enriched_with,18,24.0
Perspective,75,institutions,21,28.0
Perspective,75,location_in_imprint,50,66.7
Perspective,75,origin_language,4,5.3
Perspective,75,printing_privilege,10,13.3
Perspective,75,publisher_in_imprint,48,64.0
Perspective,75,references_to_euclid,7,9.3
Practical Geometry,166,action_verbs,112,67.5
Practical Geometry,166,audience,66,39.8
Practical Geometry,166,base_content,104,62.7
Practical Geometry,166,bound_with,28,16.9
Practical Geometry,166,bound_with_minimal,28,16.9
Practical Geometry,166,content_description,88,53.0
Practical Geometry,166,date_in_imprint,141,84.9
Practical Geometry,166,dedicatee_name,40,24.1
Practical Geometry,166,description_of_euclid,4,2.4
Practical Geometry,166,destination_language,11,6.6
Practical Geometry,166,edition_details,56,33.7
Practical Geometry,166,editor_description,109,65.7
Practical Geometry,166,editor_name,139,83.7
Practical Geometry,166,educational_authorities_references,18,10.8
Practical Geometry,166,elements_designation,36,21.7
Practical Geometry,166,enriched_with,68,41.0
Practical Geometry,166,institutions,33,19.9
Practical Geometry,166,location_in_imprint,138,83.1
Practical Geometry,166,origin_language,7,4.2
Practical Geometry,166,printing_privilege,16,9.6
