neighbor_bucket,classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
general_practical_geometry_neighbor,ustc-36,1622,Rouen,FRENCH,Jacques Chauvet,Arithmetic,Arithmetic/Commerce,False,False,False,0.6844055102349125,21,"diuisee | REVEVE | CORRIGEE | amplifiee | METHODIQVES INSTITVTIONS DE LA VRAYE ET PARFAITE ARITHMETIQVE de IACQVES CHAVVET | diuisee en six parties | diuisee en six parties | REVEVE, CORRIGEE, ET amplifiee | professeur ordinaire és Mathematiques en l'Vniuersité de Paris | d'Exemples Geometriques, extra- ction des racines Quarrees, & Cubes, & au- tres choses appartenantes à la Geome- trie, auec les figures & prati- que d'icelles",l'Vniuersité de Paris | professeur ordinaire és Mathematiques en l'Vniuersité de Paris
euclid_language_practical_neighbor,bib-145,1678,Madrid,SPANISH,José Zaragoza,Practical Geometry | Theoretical Mathematics,Geometry/Theory,True,True,False,0.6832835339886257,21,"EVCLIDES NVEVO-ANTIGVO | GEOMETRIA ESPECVLATIVA, Y PRACTICA DE LOS PLANOS, Y SOLIDOS | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | EVCLIDES NVEVO-ANTIGVO | EVCLIDES","de la Compañía de Iesvs | los Colegios de Mallorca, Barce- lona, y Valencia | el Imperial de Madrid | de la Real Junta de Minas | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | AL EXCmo. SEÑOR D. GREGORIO de Silva, &c. Principe de Melito, Duque del Infantado, y Pastrana, &c"
visual_artisan_practical_geometry_neighbor,5YK5ZF,1648,Rome,LATIN,Emanuel Maignan,Gnomonics & Horology | Perspective | Practical Geometry,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,False,False,False,0.6832188752657045,26,"traditurque | PERSPECTIVA HORARIA SIVE DE HOROGRAPHIA GNOMONICA TVM THEORETICA, TVM PRACTICA LIBRI QVATVOR | In quibus Gnomonices antiqui fines latiùs protenduntur: traditurque ratio, & delineatio Geometrica expeditissima non solùm communium, quae radio directo vel vmbra pariter directa; sed etiam aliorum nouae in- uentionis Solarium horariorum, quae radio vel vmbra tum reflexis 	tum refractis horas, aliaque ad coelestium motuum notitiam pertinentia indicant | Ordinis Minimorum, in Regio nationis Gallicanae Romano SS. Trinitatis montis Pincij Coenobio Sacrae Theologiae Professore","Ordinis Minimorum | Regio nationis Gallicanae Romano SS. Trinitatis montis Pincij Coenobio Sacrae Theologiae | Ordinis Minimorum, in Regio nationis Gallicanae Romano SS. Trinitatis montis Pincij Coenobio Sacrae Theologiae Professore"
euclid_language_practical_neighbor,ustc-8,1605,Paris,FRENCH,Charles de Bovelles,Practical Geometry,Geometry/Theory,True,True,True,0.6796279774207976,23,"COMPOSEE | augmenté | tiré | contenus | COMPOSEE | augmenté | L’Art de mesurer toutes superficies Rectilignes | Elemens d'Euclide | des Elemens d’Euclide | COMPOSEE | augmenté par iceluy de quelques Annotations | augmenté par iceluy de quelques Annotations | NOBLE PHILOSOPHE | Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy ès Mathematiques | NOBLE PHILOSOPHE | iadis Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy és Mathematiques | M. Iean Pierre de Mesmes | M. Iean des Mersliers d’Amiens | Elemens d’Euclide | Elemens d'Euclide | quelques Annotations | Tables des chapitres | augmenté par iceluy de quelques Annotations | Avec Tables des chapitres contenus es faits liures | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles: & de toutes choses pleines ou profondes, selon leur longueur, largeur, & profondeur, par M. Iean Pierre de Mesmes, tres-excellent Mathematicien, augmenté par iceluy de quelques Annotations | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles. Co de toutes choses plienes ou profondes, selon leur longueur, largeur, & profondeur | PLUS L'Art de mesurer toutes superficies Rectilignes tiré des Elemens d'Euclide | Traicté des mesures Geometriques | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles | L'Art de mesurer toutes superficies Rectilignes | Elemens d’Euclide | Elemens d'Euclide",NOBLE PHILOSOPHE | Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy ès Mathematiques | NOBLE PHILOSOPHE | iadis Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy és Mathematiques | M. Iean Pierre de Mesmes | M. Iean des Mersliers d’Amiens
professional_practical_neighbor,bib-78,1699,Paris,FRENCH,François Blondel,Practical Geometry | Theoretical Mathematics,Geometry/Theory,False,False,False,0.6780216146165238,25,"augmentée | corrigée | COURS DE MATHEMATIQUE | Qui Contient LA MATHEMATIQUE EN GENERAL LA GEOMETRIE SPECULATIVE, ET LA GEOMETRIE PRATIQUE | Seconde Edition, augmentée & corrigée | De l’Academie Royale des Sciences, Conseiller Lecteur & Professeur du Roy en Mathematique, Professeur & Directeur de l’Academie Royale d’Architecture, &c","Academie Royale des Sciences | Academie Royale d’Architecture | De l’Academie Royale des Sciences, Conseiller Lecteur & Professeur du Roy en Mathematique, Professeur & Directeur de l’Academie Royale d’Architecture, &c | MONSEIGNEUR LE DAUPHIN"
euclid_language_practical_neighbor,ustc-54,1608,Paris,FRENCH,Charles de Bovelles,Practical Geometry,Geometry/Theory,True,True,True,0.6778286236102018,22,"COMPOSEE | augmenté | tiré | Elemens d’Euclide | L’Art de mesurer toutes superficies Rectilignes | COMPOSEE | augmenté | NOBLE PHILOSOPHE | Chanoin de Noyon | tres-excellent Mathematicien | iadis Chanoin de Noyon | Lecteur & Profeſſeur du Roy ès Mathematiques | Elemens d’Euclide | de quelques Annotations | Tables des chapitres | Vn Traité des mesures Geometriques, des hanteurs accesſibles, ou inaccesſibles : & de toutes choſes pleines ou proſondes, ſelon leur longueur, largeur, & profondeur ; par M. Iean Pierre de Memes, tres-excellent Mathematicien, augmenté par ice- luy de quelques Annotations | Traité des mesures Geometriques | Elemens d’Euclide",NOBLE PHILOSOPHE | Chanoin de Noyon | tres-excellent Mathematicien | iadis Chanoin de Noyon | Lecteur & Profeſſeur du Roy ès Mathematiques
general_practical_geometry_neighbor,9D1KT8,1682,Siena,ITALIAN,Lorenzo Forestani,Arithmetic | Practical Geometry,Geometry/Theory | Arithmetic/Commerce,False,False,False,0.6723886727505493,15,"Ristampata | Ricorretta | Pratica d'arithmetica, e geometria | Di nuouo Ristampata | con somma diligenza Ricorretta | da Pescia de'Minori Conuentuali di S: Francesco",S: Francesco | da Pescia de'Minori Conuentuali di S: Francesco
euclid_language_practical_neighbor,Bologna_1620,1620,Bologna,ITALIAN,Pietro Antonio Cataldi,Practical Geometry,Geometry/Theory,True,True,True,0.6699603691531426,18,"ridotti alla Pratica | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | Ne mostrano le inventioni delle regole geometriche, arithmetiche, mechaniche, & d’astronomia, & d’ottimo uso | ridotti alla Pratica | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | d’Euclide",Studio di Bologna | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | ALL’ILL. ET NOBILISS. SIG. IL SIG. GREGORIO MALVEZZI
general_practical_geometry_neighbor,bib-134,1641,Nuremberg,GERMAN,Daniel Schwenter,Practical Geometry,Geometry/Theory,False,False,False,0.669586994549005,18,AUCTÆ | erfunden | beschrieben | durchsehen | gemehret | Allen / der hochnützlichen Geome- triæ practicæ Liebhabern | GEOME-TRIÆ PRACTICÆ NOVÆ ET AUCTÆ | Beschreibung deß nützlichen Geometrischen Tischleins | NOVÆ ET AUCTÆ | M | M. Johanne Praetorio S,Allen / der hochnützlichen Geome- triæ practicæ Liebhabern | M | M. Johanne Praetorio S
general_practical_geometry_neighbor,ustc-28,1631,Rouen,FRENCH,Jacques Chauvet,Arithmetic,Arithmetic/Commerce,False,False,False,0.6695429046348239,20,"diuifée | REVEE | CORRIGEE | amplifiée | METHOIQVES INSTITV TIONS DE LA VRAYE ET PARFAICTE ARITHMETIQVE | extraction des racines Quarrees, & Cubes , & autres choses appartenantes à la Geo- metrie , auec les figures & pra - tique d’icelles | REVEE, CORRIGEE, ET amplifiée d’Exemples Geometriques | profeßeur ordinaire éß Mathematiques en l’V niuerßité de Paris | d’Exemples Geometriques | extraction des racines Quarrees, & Cubes , & autres choses appartenantes à la Geo- metrie , auec les figures & pra - tique d’icelles",l’V niuerßité de Paris | profeßeur ordinaire éß Mathematiques en l’V niuerßité de Paris
euclid_language_practical_neighbor,YPQYIR,1565,Paris,FRENCH,Pierre Forcadel,Mechanics,Applied Mechanics/Military,True,True,False,0.6686671514594762,19,TRADVICT | COMMEN-  té | traduit | com- menté | intitu- lé | Liure d'Euclide | du leger & du pesant | lecteur ordinaire du Roy es Mathematiques en l'V-  niuerfité de Paris | Liure d'Euclide | Liure d'Euclide intitu-  lé du leger & du pesant traduit & com-  menté par le mesme Forcadel | Liure d'Euclide | Euclide,l'V-  niuerfité de Paris | lecteur ordinaire du Roy es Mathematiques en l'V-  niuerfité de Paris
professional_practical_neighbor,bib-135,1667,Nuremberg,GERMAN,Daniel Schwenter,Practical Geometry | Surveying,Geometry/Theory | Instruments/Measurement,False,False,False,0.6650053720301473,27,"gegeben | vermehrt | Allen Professionen, und insonderheit der Geometriæ Liebhabern | GEOMETRIÆ PRACTICÆ NOVÆ ET AUCTÆ LIBRI IV | Im I. Aus rechtem Fundament gewiesen wird; wie man in der Geometria, auf dem Papyr und Lande, mit denen dazu gehörigen Instrumenten, ja zur Noth ohne die- selben, verfahren und practicien solle | Im II. Wie ohne einig künstlich Geometrisch Instrument, allein mit der Meßruthe und etlichen Stäben, das Land zu messen | Im III. Die Beschreibung deß nützlichen Geometrischen Tisch- leins M. Johannis Pratorii | Im IV. Die Erfindung Camillæ Ravertræ, aus einem Stand das Land zu messen | Architect, & Ingenieur | M. Johannis Pratorii | Camillæ Ravertræ | mit vielen nütz- lichen Additionen und neuen Figuren","Allen Professionen, und insonderheit der Geometriæ Liebhabern | Architect, & Ingenieur | M. Johannis Pratorii | Camillæ Ravertræ"
