subject_family,n_primary_family,feature,count,pct
Music,18,bound_with_minimal,5,27.8
Music,18,content_description,4,22.2
Music,18,date_in_imprint,12,66.7
Music,18,dedicatee_name,2,11.1
Music,18,description_of_euclid,0,0.0
Music,18,destination_language,2,11.1
Music,18,edition_details,5,27.8
Music,18,editor_description,8,44.4
Music,18,editor_name,14,77.8
Music,18,educational_authorities_references,3,16.7
Music,18,elements_designation,3,16.7
Music,18,enriched_with,4,22.2
Music,18,institutions,7,38.9
Music,18,location_in_imprint,14,77.8
Music,18,origin_language,1,5.6
Music,18,printing_privilege,0,0.0
Music,18,publisher_in_imprint,14,77.8
Music,18,references_to_euclid,3,16.7
Music,18,FAMILY:identity,8,44.4
Music,18,FAMILY:authority,17,94.4
Music,18,FAMILY:transformation,12,66.7
Music,18,FAMILY:addition,7,38.9
Music,18,FAMILY:community,9,50.0
Music,18,FAMILY:imprint,14,77.8
