group_type,group,n_elements,n_non_elements,metric,elements_count,elements_pct,non_elements_pct,delta
period,1600-1649,75,248,method_access_book,11,14.7,4.0,10.6
period,1550-1599,55,125,claim_selection_extraction_abridgment,8,14.5,4.0,10.5
period,pre-1550,32,49,claim_method_demonstration_order,4,12.5,2.0,10.5
period,pre-1550,32,49,claim_completeness_totality_system,4,12.5,2.0,10.5
period,1650-1699,83,120,claim_translation_vernacularization_transfer,12,14.5,4.2,10.3
language_first,GERMAN,13,45,claim_method_demonstration_order,3,23.1,13.3,9.7
language_first,FRENCH,53,209,learned_scholarly_arena,16,30.2,20.6,9.6
language_first,DUTCH,21,30,Music,2,9.5,0.0,9.5
language_first,DUTCH,21,30,religious_institutional_arena,2,9.5,0.0,9.5
language_first,ENGLISH,20,47,claim_translation_vernacularization_transfer,4,20.0,10.6,9.4
language_first,LATIN,139,167,claim_augmentation_enrichment_composition,57,41.0,31.7,9.3
language_first,FRENCH,53,209,Geometry/Theory,28,52.8,43.5,9.3
language_first,ITALIAN,12,52,sparse_canonical_identity,2,16.7,7.7,9.0
language_first,GERMAN,13,45,claim_augmentation_enrichment_composition,2,15.4,6.7,8.7
language_first,GERMAN,13,45,claim_completeness_totality_system,2,15.4,6.7,8.7
language_first,ENGLISH,20,47,patronage_prestige_arena,3,15.0,6.4,8.6
period,1700+,40,15,religious_institutional_arena,6,15.0,6.7,8.3
language_first,ITALIAN,12,52,claim_correction_revision_accuracy,1,8.3,0.0,8.3
language_first,ITALIAN,12,52,claim_augmentation_enrichment_composition,1,8.3,0.0,8.3
language_first,ITALIAN,12,52,claim_selection_extraction_abridgment,1,8.3,0.0,8.3
language_first,ITALIAN,12,52,composite_workshop_book,1,8.3,0.0,8.3
period,1650-1699,83,120,pedagogical_school_arena,17,20.5,12.5,8.0
language_first,ENGLISH,20,47,military_fortification_arena,2,10.0,2.1,7.9
language_first,LATIN,139,167,composite_workshop_book,50,36.0,28.1,7.8
language_first,LATIN,139,167,learned_scholarly_arena,48,34.5,26.9,7.6
language_first,LATIN,139,167,claim_completeness_totality_system,28,20.1,12.6,7.6
period,pre-1550,32,49,sparse_canonical_identity,5,15.6,8.2,7.5
language_first,LATIN,139,167,pedagogical_school_arena,36,25.9,18.6,7.3
period,pre-1550,32,49,Instruments/Measurement,3,9.4,2.0,7.3
period,1650-1699,83,120,Geometry/Theory,53,63.9,56.7,7.2
period,1550-1599,55,125,pedagogical_school_arena,11,20.0,12.8,7.2
language_first,LATIN,139,167,claim_selection_extraction_abridgment,18,12.9,6.0,7.0
period,pre-1550,32,49,claim_correction_revision_accuracy,4,12.5,6.1,6.4
period,1600-1649,75,248,patronage_prestige_arena,11,14.7,8.5,6.2
language_first,DUTCH,21,30,court_state_service_arena,2,9.5,3.3,6.2
period,1700+,40,15,humanist_transfer_book,5,12.5,6.7,5.8
period,1700+,40,15,court_state_service_arena,5,12.5,6.7,5.8
period,1600-1649,75,248,pedagogical_school_arena,13,17.3,11.7,5.6
period,1600-1649,75,248,claim_visual_material_aids,14,18.7,13.3,5.4
language_first,ENGLISH,20,47,claim_completeness_totality_system,4,20.0,14.9,5.1
language_first,ITALIAN,12,52,patronage_prestige_arena,2,16.7,11.5,5.1
period,1650-1699,83,120,method_access_book,9,10.8,5.8,5.0
period,1700+,40,15,military_fortification_arena,2,5.0,0.0,5.0
period,1700+,40,15,general_public_lovers_arena,2,5.0,0.0,5.0
language_first,FRENCH,53,209,military_fortification_arena,4,7.5,2.9,4.7
period,1600-1649,75,248,learned_scholarly_arena,21,28.0,23.4,4.6
language_first,FRENCH,53,209,claim_completeness_totality_system,9,17.0,12.4,4.5
language_first,ITALIAN,12,52,pedagogical_school_arena,1,8.3,3.8,4.5
period,pre-1550,32,49,religious_institutional_arena,2,6.2,2.0,4.2
period,1550-1599,55,125,patronage_prestige_arena,8,14.5,10.4,4.1
period,1550-1599,55,125,Music,4,7.3,3.2,4.1
language_first,LATIN,139,167,claim_accessibility_clarity_pedagogy,15,10.8,7.2,3.6
language_first,LATIN,139,167,court_state_service_arena,10,7.2,3.6,3.6
language_first,FRENCH,53,209,claim_visual_material_aids,8,15.1,11.5,3.6
period,1650-1699,83,120,military_fortification_arena,7,8.4,5.0,3.4
language_first,ITALIAN,12,52,claim_accessibility_clarity_pedagogy,2,16.7,13.5,3.2
period,1650-1699,83,120,claim_accessibility_clarity_pedagogy,15,18.1,15.0,3.1
period,pre-1550,32,49,claim_selection_extraction_abridgment,1,3.1,0.0,3.1
period,pre-1550,32,49,professional_practical_arena,1,3.1,0.0,3.1
period,pre-1550,32,49,general_public_lovers_arena,1,3.1,0.0,3.1
language_first,ENGLISH,20,47,sparse_canonical_identity,1,5.0,2.1,2.9
period,1550-1599,55,125,claim_accessibility_clarity_pedagogy,5,9.1,6.4,2.7
language_first,ITALIAN,12,52,learned_scholarly_arena,1,8.3,5.8,2.6
language_first,DUTCH,21,30,claim_utility_practice_application,4,19.0,16.7,2.4
