subject_family,feature,n_in,pct_in,pct_out,delta
Visual/Spatial Arts,dedicatee_name,110,21.8,19.1,2.7
Visual/Spatial Arts,editor_name,110,74.5,76.8,-2.3
Visual/Spatial Arts,educational_authorities_references,110,11.8,15.1,-3.3
Visual/Spatial Arts,destination_language,110,10.0,13.9,-3.9
Visual/Spatial Arts,origin_language,110,6.4,10.4,-4.0
Visual/Spatial Arts,has_authority,110,84.5,88.5,-4.0
Visual/Spatial Arts,institutions,110,24.5,30.3,-5.7
Visual/Spatial Arts,bound_with_minimal,110,14.5,20.3,-5.8
Visual/Spatial Arts,bound_with,110,14.5,20.6,-6.1
Visual/Spatial Arts,description_of_euclid,110,0.0,6.3,-6.3
Visual/Spatial Arts,has_imprint,110,82.7,90.2,-7.5
Visual/Spatial Arts,editor_description,110,50.9,58.5,-7.6
Visual/Spatial Arts,has_addition,110,40.0,51.0,-11.0
Visual/Spatial Arts,enriched_with,110,30.0,43.2,-13.2
Visual/Spatial Arts,location_in_imprint,110,71.8,85.8,-14.0
Visual/Spatial Arts,action_verbs,110,53.6,68.3,-14.7
Visual/Spatial Arts,has_transformation,110,55.5,70.4,-14.9
Visual/Spatial Arts,content_description,110,28.2,44.5,-16.3
Visual/Spatial Arts,publisher_in_imprint,110,68.2,84.9,-16.7
Visual/Spatial Arts,date_in_imprint,110,69.1,86.9,-17.8
Visual/Spatial Arts,edition_details,110,14.5,36.4,-21.9
Visual/Spatial Arts,references_to_euclid,110,10.0,38.5,-28.5
Visual/Spatial Arts,base_content,110,39.1,68.8,-29.7
Visual/Spatial Arts,has_identity,110,39.1,69.4,-30.3
Visual/Spatial Arts,elements_designation,110,8.2,40.2,-32.1
