portfolio_kind,name,total_representative_cases,metadata_elements_cases,non_elements_cases,elements_share_pct,cities,languages_first,formats,periods,elements_bookgroups,primary_subject_families,elements_keys,non_elements_keys,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social,claim_method_demonstration_order_elements_pct,claim_method_demonstration_order_non_elements_pct,claim_accessibility_clarity_pedagogy_elements_pct,claim_accessibility_clarity_pedagogy_non_elements_pct,claim_utility_practice_application_elements_pct,claim_utility_practice_application_non_elements_pct,claim_correction_revision_accuracy_elements_pct,claim_correction_revision_accuracy_non_elements_pct,claim_augmentation_enrichment_composition_elements_pct,claim_augmentation_enrichment_composition_non_elements_pct,claim_translation_vernacularization_transfer_elements_pct,claim_translation_vernacularization_transfer_non_elements_pct,claim_ancient_authority_restoration_elements_pct,claim_ancient_authority_restoration_non_elements_pct,claim_visual_material_aids_elements_pct,claim_visual_material_aids_non_elements_pct,claim_selection_extraction_abridgment_elements_pct,claim_selection_extraction_abridgment_non_elements_pct,pedagogical_school_arena_elements_pct,pedagogical_school_arena_non_elements_pct,court_state_service_arena_elements_pct,court_state_service_arena_non_elements_pct,military_fortification_arena_elements_pct,military_fortification_arena_non_elements_pct,professional_practical_arena_elements_pct,professional_practical_arena_non_elements_pct,religious_institutional_arena_elements_pct,religious_institutional_arena_non_elements_pct,learned_scholarly_arena_elements_pct,learned_scholarly_arena_non_elements_pct,general_public_lovers_arena_elements_pct,general_public_lovers_arena_non_elements_pct,patronage_prestige_arena_elements_pct,patronage_prestige_arena_non_elements_pct,no_visible_social_arena_elements_pct,no_visible_social_arena_non_elements_pct,sparse_canonical_identity_elements_pct,sparse_canonical_identity_non_elements_pct,procedural_pedagogical_identity_elements_pct,procedural_pedagogical_identity_non_elements_pct,composite_workshop_book_elements_pct,composite_workshop_book_non_elements_pct,utility_public_book_elements_pct,utility_public_book_non_elements_pct,humanist_transfer_book_elements_pct,humanist_transfer_book_non_elements_pct,method_access_book_elements_pct,method_access_book_non_elements_pct
split_person,Manoel de Campos,1,1,0,100.0,Lisbon,PORTUGUESE,,1700+,,Geometry/Theory,Lisbon_1735,,claim_ancient_authority_restoration; claim_method_demonstration_order,,,pedagogical_school_arena; religious_institutional_arena,,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Marcus Meibom,1,1,0,100.0,Amsterdam,LATIN,4,1650-1699,,Music,Amsterdam_1652,,claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Marcus Vitruvius Pollio,1,0,1,0.0,Venice,LATIN,,1550-1599,,Visual/Spatial Arts,,bib-71,,claim_augmentation_enrichment_composition; claim_utility_practice_application; claim_visual_material_aids,,,no_visible_social_arena,,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0
split_person,Marin Mersenne (?),1,1,0,100.0,Paris,LATIN,8,1600-1649,1–18,Geometry/Theory,Paris_1626a,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,
split_person,Marinus Neapolitanus,1,1,0,100.0,Basel,LATIN,2,1550-1599,1-15,Geometry/Theory,T4DFPF,,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,
split_person,Mario Bettini,1,0,1,0.0,Bologna,LATIN,,1600-1649,,Applied Mechanics/Military,,35H84Y,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer; claim_utility_practice_application; claim_visual_material_aids,,,general_public_lovers_arena; learned_scholarly_arena; military_fortification_arena; pedagogical_school_arena; professional_practical_arena,,,100.0,,100.0,,100.0,,0.0,,100.0,,100.0,,100.0,,100.0,,0.0,,100.0,,0.0,,100.0,,100.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,100.0,,100.0,,100.0
split_person,Martinus Erici Gestrinius,1,1,0,100.0,Uppsala,LATIN,,1600-1649,1-6,Geometry/Theory,Uppsala_1642,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order,,,no_visible_social_arena,,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,
split_person,Matthys Bruskens,1,0,1,0.0,Rotterdam,DUTCH,,1600-1649,,Arithmetic/Commerce,,bib-180,,claim_accessibility_clarity_pedagogy,,,pedagogical_school_arena,,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Michael,1,1,0,100.0,Leipzig,LATIN,8,1550-1599,,No primary family,4ZSED7,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Michael Havemann,1,0,1,0.0,Frankfurt,GERMAN,,1650-1699,,No primary family,,bib-101,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Michaël Eytzinger,1,0,1,0.0,Cologne,LATIN,,1550-1599,,No primary family,,bib-254,,claim_correction_revision_accuracy,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Michel Coignet,1,0,1,0.0,Antwerp,FRENCH,,1550-1599,,Geometry/Theory | Arithmetic/Commerce,,bib-264,,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order,,,general_public_lovers_arena; professional_practical_arena,,,100.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0
split_person,Michel Connette,1,0,1,0.0,Paris,FRENCH,,1600-1649,,Geometry/Theory | Instruments/Measurement,,ustc-10,,claim_accessibility_clarity_pedagogy; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,,general_public_lovers_arena; learned_scholarly_arena,,,0.0,,100.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0
split_person,Moritz Valentin Steinmetz,1,1,0,100.0,Leipzig,LATIN,8,1550-1599,,Geometry/Theory,Leipzig_1577,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer,,,learned_scholarly_arena,,,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,100.0,,0.0,
split_person,Mårten Strömer,1,1,0,100.0,Uppsala,SWEDISH,,1700+,1-6,Geometry/Theory,Uppsala_1744,,claim_ancient_authority_restoration,,,learned_scholarly_arena; pedagogical_school_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Nasir al-Din al-Tusi,1,1,0,100.0,Rome,ARABIC,2,1550-1599,1-13,No primary family,Rome_1594,,claim_ancient_authority_restoration,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Nicholas Mercator,1,0,1,0.0,London,LATIN,,1650-1699,,Geometry/Theory,,London_1678a,,claim_ancient_authority_restoration; claim_method_demonstration_order,,,no_visible_social_arena,,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0
split_person,Nicholas of Cusa,1,0,1,0.0,Paris,LATIN,,pre-1550,,No primary family,,bib-176,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Nicola Sabbattini,1,0,1,0.0,Ravenna,ITALIAN,,1600-1649,,Visual/Spatial Arts | Applied Mechanics/Military,,GDIHEX,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Nicolas Baytaz,1,0,1,0.0,Annecy,FRENCH,12,1600-1649,,Visual/Spatial Arts,,DA54XK,,,,,general_public_lovers_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Nicolas Bion,1,0,1,0.0,Paris,FRENCH,,1700+,,Instruments/Measurement,,bib-238,,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_utility_practice_application; claim_visual_material_aids,,,court_state_service_arena; patronage_prestige_arena,,,0.0,,0.0,,100.0,,100.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0
split_person,Nicolas Forest-Duchesne,1,0,1,0.0,Paris,FRENCH,,1600-1649,,Instruments/Measurement,,ustc-7,,claim_accessibility_clarity_pedagogy; claim_augmentation_enrichment_composition; claim_method_demonstration_order,,,no_visible_social_arena,,,100.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0
split_person,Nicolas Savetier,1,0,1,0.0,Paris,LATIN,,pre-1550,,Instruments/Measurement | Cosmos/Earth,,bib-170,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Nicolaus Copernicus,1,0,1,0.0,Nuremberg,LATIN,,pre-1550,,Cosmos/Earth,,Z0K13S,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_visual_material_aids,,,pedagogical_school_arena,,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0
split_person,Nicolaus Petri,1,0,1,0.0,Amsterdam,DUTCH,,1600-1649,,Arithmetic/Commerce,,bib-212,,claim_utility_practice_application,,,no_visible_social_arena,,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
