classification_key,year,city,language,primary_classes,base_content,elements_designation,references_to_euclid
HFRLRC,1623,The Hague,DUTCH,Perspective,OPTICA,,
Halle_1758,1773,Halle,GERMAN,Theoretical Mathematics,die sechs ersten Bücher der Elemente,die sechs ersten Bücher der Elemente,Euklid’s | Euklids
Hamburg_1633,1633,Hamburg,DUTCH,Theoretical Mathematics,EVCLIDES ZES EERSTE BOEKKEN,EVCLIDES ZES EERSTE BOEKKEN,EVCLIDES
Hamburg_1638,1638,Hamburg,DUTCH,Theoretical Mathematics,EUKLIDES ZES EERSTE BOEKKEN,EUKLIDES ZES EERSTE BOEKKEN,EUKLIDES
Hardy-2,1643,Paris,FRENCH,Theoretical Mathematics,De la fausse Quadrature du Cercle du SIEVR DE LALEV,,
Hardy-5,1644,Paris,FRENCH,Theoretical Mathematics,du premier livre d'Euclide,du premier livre d'Euclide,Euclide
Hardy-6,1641,Paris,FRENCH,Theoretical Mathematics,Propositions mathematiques,,
I9PE2Y,1609,Heidelberg,LATIN,Astronomy,ASTRONOMIA NOVA,,
Innsbruck_1634,1634,Innsbruck,LATIN,,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS
JTRIRS,1569,Venice,ITALIAN,Perspective,LA PRATICA DELLA PERSPETTIVA,,
Jena_1628,1628,Jena,GERMAN,Theoretical Mathematics,Teutscher Eu- CLIDES,Teutscher Eu- CLIDES,Eu- CLIDES
K7DERJ,1567,Augsburg,GERMAN,Perspective | Practical Geometry,OCTAEDRON ELEVATVM SOLIDVM,,
Kiel_Hamburg_and_Leipzig_1697,1697,"Hamburg, Leipzig",GERMAN,Theoretical Mathematics,"EUCLIDES, Dessen VI. erste Bücher","EUCLIDES, Dessen VI. erste Bücher",EUCLIDES
Le_Mans_1663,1663,Le Mans,FRENCH,Perspective | Theoretical Mathematics,LA PERSPECTIVE D’EVCLIDE,LA PERSPECTIVE D’EVCLIDE,EVCLIDE
Leiden_1599,1599,Leiden,LATIN,Perspective,EVCLIDIS Optica & Catoptrica,EVCLIDIS Optica & Catoptrica,EVCLIDIS
Leiden_1606,1606,Leiden,DUTCH,Theoretical Mathematics,De ses eerste boucken EVCLIDIS,De ses eerste boucken EVCLIDIS,EVCLIDIS
Leiden_and_Amsterdam_1673,1673,"Leiden, Amsterdam",LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI,EVCLIDIS ELEMENTORVM SEX PRIORES LIBRI,EVCLIDIS
Leipzig_1549,1549,Leipzig,LATIN,,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,Εuκλείδου | EVCLIDIS
Leipzig_1607,1607,Leipzig,LATIN,Theoretical Mathematics,EVCLIDIS OPTICA & CATOPTRICA,EVCLIDIS OPTICA & CATOPTRICA,EVCLIDIS
Leipzig_1883,1883,Leipzig,"GREEK, LATIN",Theoretical Mathematics,EUCLIDIS OPERA OMNIA,,EUCLIDIS
London_1620,1620,London,"GREEK, LATIN",,ELEMENTORVM EVCLIDIS LIBRI TREDECIM,ELEMENTORVM EVCLIDIS LIBRI TREDECIM | ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ,ΕΥΚΛΕΙΔΟΥ | EVCLIDIS
London_1659,1659,London,LATIN,Theoretical Mathematics,EUCLIDIS ELEMENTORUM Libri xv,EUCLIDIS ELEMENTORUM Libri xv,EUCLIDIS
London_1678,1678,London,LATIN,,EUCLIDIS Elementorum LIBRI XV,EUCLIDIS Elementorum LIBRI XV,EUCLIDIS
