name,page_number,reference,is_bold,volume
Bredeau (Guillaume),120,,true,vol_1
Bredeau (Guillaume),152,,false,vol_1
Bredeau (Guillaume),153,,false,vol_1
Bredeau (Guillaume),171,,false,vol_1
Bredeau (Guillaume),182,,true,vol_1
Bredeau (Guillaume),189,,false,vol_1
Bredeau (Guillaume),215,,false,vol_1
Bredeau (Guillaume),216,,false,vol_1
Bredeau (Guillaume),219,,false,vol_1
Bredeau (Guillaume),220,,false,vol_1
Bredeau (Guillaume),224,,false,vol_1
Bredeau (Guillaume),349,,false,vol_1
Bredeau (Guillaume),395,,true,vol_1
Bredeau (Guillaume),495,,false,vol_1
Bredeau (Guillaume),496,,true,vol_1
Bredeau (Guillaume),550,,false,vol_1
Bredeau (Guillaume),562,,false,vol_1
Bredeau (Guillaume),586,,false,vol_1
Bredeau (Guillaume),587,,false,vol_1
Bredeau (Michel),495,,false,vol_1
Bredeau (Michel),496,,false,vol_1
Bredellus,,Bredeau,false,vol_1
Bremant (le P. Jacques),64,,false,vol_1
Bremant (le P. Jacques),156,,false,vol_1
Brenet,579,,false,vol_1
Bretel (Louis),xxx,,false,vol_1
Brian (le P. Pierre),538,,false,vol_1
Brossard (le P. Christophe),xxi,,false,vol_1
Brossard (le P. Christophe),40,,false,vol_1
Brossard (Sébastien de),430,,false,vol_1
Brosse (Sr de la),,Leloyer (Pierre),false,vol_1
Brosse (Guy de la),,La Brosse,false,vol_1
Broussel (de),xxxvii,,false,vol_1
Brun,326,,false,vol_1
Bruno (Giordano),134,,false,vol_1
Bruno (Giordano),137-138,,false,vol_1
Bruno (Giordano),147,,false,vol_1
Bruno (Giordano),156,,false,vol_1
Bruno (Giordano),398,,false,vol_1
Bruno (Giordano),491,,false,vol_1
Bruno (Jean),xxiv,,false,vol_1
Bruslard,xxxviii,,false,vol_1
Bryennius,71,,false,vol_1
Bryennius,571,,false,vol_1
Buckingham (duc de),595,,false,vol_1
Buckingham (duc de),598,,false,vol_1
Budé (Guillaume),93,,true,vol_1
Budé (Guillaume),94,,false,vol_1
Bünau (Rudolphe de),63,,false,vol_1
Buon (Nicolas),148,,false,vol_1
Buon (Nicolas),234,,false,vol_1
Buon (Nicolas),557,,true,vol_1
Buteo,16,,true,vol_1
Buteo,257,,false,vol_1
Buteo,498,,true,vol_1
Buteo,504,,false,vol_1
Buxtorf (Jean),17,,false,vol_1
Calcagnini,130,,false,vol_1
Calvin,160,,false,vol_1
Camart (le P. Gilles),156,,false,vol_1
Camart (le P. Gilles),456,,true,vol_1
Camden,250,,false,vol_1
Campanella,xxxiii,,false,vol_1
Campanella,"xlvi, n. 2",,false,vol_1
Campanella,"liii, n. 1",,false,vol_1
Campanella,37,,false,vol_1
Campanella,63-64,,false,vol_1
Campanella,70,,false,vol_1
Campanella,122,,false,vol_1
Campanella,123,,false,vol_1
Campanella,134,,false,vol_1
Campanella,135,,false,vol_1
Campanella,147,,false,vol_1
Campanella,148,,false,vol_1
Campanella,149,,false,vol_1
Campanella,177,,true,vol_1
Campanella,179,,false,vol_1
Campanella,180,,false,vol_1
Campanella,226,,false,vol_1
Campanella,359,,false,vol_1
