group,marker,count,denominator,pct
GREEK,Utility/practice/application,0,16,0.0
GREEK,Correction/revision,0,16,0.0
GREEK,Augmentation/composition,6,16,37.5
GREEK,Translation/transfer,8,16,50.0
GREEK,Ancient authority/restoration,13,16,81.2
GREEK,Novelty/modernity,0,16,0.0
GREEK,Visual aids,2,16,12.5
GREEK,Completeness/system,3,16,18.8
GREEK,Selection/extraction,0,16,0.0
GREEK,Students/learners,0,16,0.0
GREEK,General readers/lovers,0,16,0.0
GREEK,Surveyors/engineers,0,16,0.0
GREEK,Military users,0,16,0.0
GREEK,Universities/academies,0,16,0.0
GREEK,Jesuit,0,16,0.0
GREEK,Math professor/lecturer,0,16,0.0
GREEK,Any named deductive part,6,16,37.5
GREEK,Demonstrations/proofs,1,16,6.2
GREEK,Propositions,2,16,12.5
GREEK,Scholia/commentary,5,16,31.2
GREEK,Figures/diagrams,1,16,6.2
GREEK,Problems,0,16,0.0
GREEK,Operations/constructions,0,16,0.0
ITALIAN,Canonical/textual identity,12,12,100.0
ITALIAN,Method/demonstration/order,4,12,33.3
ITALIAN,Access/clarity/pedagogy,2,12,16.7
ITALIAN,Utility/practice/application,0,12,0.0
ITALIAN,Correction/revision,1,12,8.3
ITALIAN,Augmentation/composition,1,12,8.3
ITALIAN,Translation/transfer,5,12,41.7
ITALIAN,Ancient authority/restoration,12,12,100.0
ITALIAN,Novelty/modernity,0,12,0.0
ITALIAN,Visual aids,2,12,16.7
ITALIAN,Completeness/system,1,12,8.3
ITALIAN,Selection/extraction,1,12,8.3
ITALIAN,Students/learners,0,12,0.0
ITALIAN,General readers/lovers,0,12,0.0
ITALIAN,Surveyors/engineers,0,12,0.0
ITALIAN,Military users,0,12,0.0
ITALIAN,Universities/academies,0,12,0.0
ITALIAN,Jesuit,0,12,0.0
ITALIAN,Math professor/lecturer,0,12,0.0
ITALIAN,Any named deductive part,4,12,33.3
ITALIAN,Demonstrations/proofs,2,12,16.7
ITALIAN,Propositions,0,12,0.0
ITALIAN,Scholia/commentary,1,12,8.3
ITALIAN,Figures/diagrams,0,12,0.0
ITALIAN,Problems,0,12,0.0
ITALIAN,Operations/constructions,0,12,0.0
LATIN,Canonical/textual identity,119,139,85.6
LATIN,Method/demonstration/order,55,139,39.6
LATIN,Access/clarity/pedagogy,15,139,10.8
LATIN,Utility/practice/application,3,139,2.2
LATIN,Correction/revision,31,139,22.3
LATIN,Augmentation/composition,57,139,41.0
LATIN,Translation/transfer,29,139,20.9
LATIN,Ancient authority/restoration,115,139,82.7
LATIN,Novelty/modernity,9,139,6.5
LATIN,Visual aids,18,139,12.9
LATIN,Completeness/system,28,139,20.1
LATIN,Selection/extraction,18,139,12.9
LATIN,Students/learners,5,139,3.6
LATIN,General readers/lovers,4,139,2.9
LATIN,Surveyors/engineers,0,139,0.0
LATIN,Military users,0,139,0.0
LATIN,Universities/academies,1,139,0.7
LATIN,Jesuit,16,139,11.5
LATIN,Math professor/lecturer,2,139,1.4
LATIN,Any named deductive part,76,139,54.7
LATIN,Demonstrations/proofs,36,139,25.9
LATIN,Propositions,8,139,5.8
LATIN,Scholia/commentary,20,139,14.4
LATIN,Figures/diagrams,3,139,2.2
LATIN,Problems,1,139,0.7
LATIN,Operations/constructions,0,139,0.0
SPANISH,Canonical/textual identity,6,6,100.0
SPANISH,Method/demonstration/order,2,6,33.3
SPANISH,Access/clarity/pedagogy,1,6,16.7
SPANISH,Utility/practice/application,2,6,33.3
SPANISH,Correction/revision,0,6,0.0
SPANISH,Augmentation/composition,1,6,16.7
SPANISH,Translation/transfer,2,6,33.3
SPANISH,Ancient authority/restoration,6,6,100.0
SPANISH,Novelty/modernity,0,6,0.0
SPANISH,Visual aids,0,6,0.0
SPANISH,Completeness/system,0,6,0.0
SPANISH,Selection/extraction,0,6,0.0
SPANISH,Students/learners,0,6,0.0
SPANISH,General readers/lovers,0,6,0.0
SPANISH,Surveyors/engineers,0,6,0.0
SPANISH,Military users,0,6,0.0
SPANISH,Universities/academies,0,6,0.0
SPANISH,Jesuit,0,6,0.0
SPANISH,Math professor/lecturer,0,6,0.0
SPANISH,Any named deductive part,2,6,33.3
SPANISH,Demonstrations/proofs,0,6,0.0
SPANISH,Propositions,1,6,16.7
SPANISH,Scholia/commentary,0,6,0.0
SPANISH,Figures/diagrams,0,6,0.0
SPANISH,Problems,0,6,0.0
SPANISH,Operations/constructions,0,6,0.0
