group,marker,count,denominator,pct
euclid_humanist_transfer,figures as practical operation,0,40,0.0
euclid_humanist_transfer,figures as visual pedagogy,1,40,2.5
euclid_humanist_transfer,figures as edition furnishing,1,40,2.5
euclid_humanist_transfer,figures as ancient/learned apparatus,1,40,2.5
euclid_humanist_transfer,visual claim but no metadata diagrams,1,40,2.5
euclid_humanist_transfer,metadata diagrams but no visual claim,4,40,10.0
euclid_method_access,visual title claim,1,14,7.1
euclid_method_access,metadata diagrams,2,14,14.3
euclid_method_access,figures as proof apparatus,1,14,7.1
euclid_method_access,figures as practical operation,1,14,7.1
euclid_method_access,figures as visual pedagogy,1,14,7.1
euclid_method_access,figures as edition furnishing,1,14,7.1
euclid_method_access,figures as ancient/learned apparatus,1,14,7.1
euclid_method_access,visual claim but no metadata diagrams,1,14,7.1
euclid_method_access,metadata diagrams but no visual claim,2,14,14.3
euclid_no_primary_subject,visual title claim,1,16,6.2
euclid_no_primary_subject,metadata diagrams,1,16,6.2
euclid_no_primary_subject,figures as proof apparatus,0,16,0.0
euclid_no_primary_subject,figures as practical operation,0,16,0.0
euclid_no_primary_subject,figures as visual pedagogy,0,16,0.0
euclid_no_primary_subject,figures as edition furnishing,0,16,0.0
euclid_no_primary_subject,figures as ancient/learned apparatus,1,16,6.2
euclid_no_primary_subject,visual claim but no metadata diagrams,1,16,6.2
euclid_no_primary_subject,metadata diagrams but no visual claim,1,16,6.2
euclid_procedural_pedagogical,visual title claim,9,44,20.5
euclid_procedural_pedagogical,metadata diagrams,4,44,9.1
euclid_procedural_pedagogical,figures as proof apparatus,6,44,13.6
euclid_procedural_pedagogical,figures as practical operation,0,44,0.0
euclid_procedural_pedagogical,figures as visual pedagogy,2,44,4.5
euclid_procedural_pedagogical,figures as edition furnishing,1,44,2.3
euclid_procedural_pedagogical,figures as ancient/learned apparatus,9,44,20.5
euclid_procedural_pedagogical,visual claim but no metadata diagrams,8,44,18.2
euclid_procedural_pedagogical,metadata diagrams but no visual claim,3,44,6.8
euclid_sparse_canonical,visual title claim,0,29,0.0
euclid_sparse_canonical,metadata diagrams,4,29,13.8
euclid_sparse_canonical,figures as proof apparatus,0,29,0.0
euclid_sparse_canonical,figures as practical operation,0,29,0.0
euclid_sparse_canonical,figures as visual pedagogy,0,29,0.0
euclid_sparse_canonical,figures as edition furnishing,0,29,0.0
euclid_sparse_canonical,figures as ancient/learned apparatus,0,29,0.0
euclid_sparse_canonical,visual claim but no metadata diagrams,0,29,0.0
euclid_sparse_canonical,metadata diagrams but no visual claim,4,29,13.8
euclid_utility_public,visual title claim,2,19,10.5
euclid_utility_public,metadata diagrams,1,19,5.3
euclid_utility_public,figures as proof apparatus,1,19,5.3
euclid_utility_public,figures as practical operation,2,19,10.5
euclid_utility_public,figures as visual pedagogy,1,19,5.3
euclid_utility_public,figures as edition furnishing,1,19,5.3
euclid_utility_public,figures as ancient/learned apparatus,2,19,10.5
euclid_utility_public,visual claim but no metadata diagrams,1,19,5.3
euclid_utility_public,metadata diagrams but no visual claim,0,19,0.0
not_euclid_elements,visual title claim,74,511,14.5
not_euclid_elements,metadata diagrams,115,511,22.5
not_euclid_elements,figures as proof apparatus,23,511,4.5
not_euclid_elements,figures as practical operation,33,511,6.5
not_euclid_elements,figures as visual pedagogy,21,511,4.1
not_euclid_elements,figures as edition furnishing,52,511,10.2
not_euclid_elements,figures as ancient/learned apparatus,8,511,1.6
not_euclid_elements,visual claim but no metadata diagrams,55,511,10.8
not_euclid_elements,metadata diagrams but no visual claim,96,511,18.8
