key,cluster_key,item_key
5870E1_Paris_1626,5870E1,Paris_1626
5870E1_Paris_1652,5870E1,Paris_1652
16B052_FF0SVB,16B052,FF0SVB
16B052_ZFDD26,16B052,ZFDD26
86D407_2EUGZU,86D407,2EUGZU
86D407_1PBNLD,86D407,1PBNLD
4347BA_8CUL9S,4347BA,8CUL9S
4347BA_PBGWES,4347BA,PBGWES
4347BA_RYM881,4347BA,RYM881
137BF4_7K77S6,137BF4,7K77S6
137BF4_LC4IXG,137BF4,LC4IXG
137BF4_DAYIBZ,137BF4,DAYIBZ
3322A6_JBU149,3322A6,JBU149
51108F_C77QQO,51108F,C77QQO
51108F_ZZLQPY,51108F,ZZLQPY
Y63G5P_Rome_1574,Y63G5P,Rome_1574
