key,city,languages,compositors,long_title,short_title,short_title_source,year_from,year_to,year_is_approximate,notes,has_diagrams
ms_99,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
ms_100,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
ms_101,,,,,,,1100,1200,True,"class: Latin manuscripts
subclass: Mélanges of the Robert and the Boethius Texts",
ms_102,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version III (Johannes de Tinemue)",
ms_103,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version III (Johannes de Tinemue)",
ms_104,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Commentary from the early thirteenth century",
ms_105,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Commentary from the early thirteenth century",
ms_106,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Commentary from the early thirteenth century",
ms_107,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_108,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_109,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_110,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_111,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_112,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Campanus of Novara",True
ms_113,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_114,,,,,,,1200,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_115,,,,,,,1300,1300,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_116,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_117,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_118,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_119,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_120,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_121,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_122,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_123,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_124,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_125,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_126,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_127,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_128,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_129,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_130,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_131,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Campanus of Novara",
ms_132,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Campanus of Novara",
