author_canonical,key,year,year_num,period_25,city,language,format,short_title
Claude Richard,Antwerp_1645,1645,1645.0,1625-1649,Antwerp,LATIN,2,"Euclidis elementorum geometricorum libros tredecim Isidorum et Hypsiclem & recentiores de corporibus regularibus, & Procli propositiones geometricas"
Christopher Clavius,Frankfurt_1654,1654,1654.0,1650-1674,Frankfurt,LATIN,8,"Euclidis Posteriores Libri IX Accessit liber XVI. De Solidorum Regularium cuiuslibet intra quodlibet comparatione, Omnes Perspicuis Demonstrationibus, accuratisque scholiis illustrati Auctore Christophoro Clavio Bambergensi e Societate Jesu: nunc quarto editi, ac multarum rerum accessione post primam editionem locupletati"
Georges Fournier,Paris_1654,1654,1654.0,1650-1674,Paris,LATIN,8,Euclidis elementorum geometricorum libri
"Christopher Clavius, Christoph Grienberger",Rome_1655,1655,1655.0,1650-1674,Rome,LATIN,12,Euclidis sex primi elementorum geometricorum libri cum parte vndecimi ex maioribus Clavuii commentarijs in commodiorem formam contracti. Rerumque mathematicarum Christophori Grienbergeri Oenohallensis è Societate Iesu opusculum primum. Accessere Isaaci Monachi In sex eosdem libros scholia
Claude-François Milliet Dechales,Lyon_1674,1674,1674.0,1650-1674,Lyon,LATIN,4,
Christopher Clavius,Frankfurt_1607,1607,1607.0,1600-1624,Frankfurt,LATIN,8,"Elementorum libri 15, accessit Liber XVI"
Georges Fournier,London_1654,1654,1654.0,1650-1674,London,LATIN,12,
Georges Fournier,Cambridge_1665,1665,1665.0,1650-1674,Cambridge,LATIN,12,"Euclidis sex primi Elementorum geometricorum libri, commodiùs demonstrati. A.P. Georg. Fournier è societate Jesu. Accesserunt elementa astronomica, ubi Theodosii Tripolitæ sphæricorum libri tres, & universa triangulorum resolutio demonstrantur per Johannem Baptistam Duhamel, Mathesews Professorem."
Gaspar Schott,Würzburg_1661,1661,1661.0,1650-1674,Würzburg,LATIN,2,"Cursus mathematicus, sive Absoluta omnium mathematicarum disciplinarum encyclopaedia"
"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",Graz_1636,1636,1636.0,1625-1649,Graz,LATIN,12,Euclidis sex primi elementorum geometricorum libri cum parte undecimi ex majoribus Clavij commentarijs in commodiorem forma contracti
Gaspar Schott,Bamberg_1677,1677,1677.0,1675-1699,Bamberg,LATIN,2,
Johann Lanz,Ingolstadt_1617,1617,1617.0,1600-1624,Ingolstadt,LATIN,8,Euclidis elementorum geometricorum libri sex priores
Johann Lanz,Bologna_1629,1629,1629.0,1625-1649,Bologna,LATIN,8,Euclidis elementorum geometricorum libri sex priores
André Tacquet,Antwerp_1654,1654,1654.0,1650-1674,Antwerp,LATIN,8,Elementa geometriae planae et solidae
André Tacquet,Antwerp_1672,1672,1672.0,1650-1674,Antwerp,LATIN,8,
André Tacquet,Padua_1694,1694,1694.0,1675-1699,Padua,LATIN,8,
Claude-François Milliet Dechales,Oxford_1685,1685,1685.0,1675-1699,Oxford,ENGLISH,4,
Claude-François Milliet Dechales,London_1696,1696,1696.0,1675-1699,London,ENGLISH,8,"The elements of Euclid explain'd, in a new, but most easie method: together with the use of every proposition through all parts of the mathematicks. Written in French, by that excellent mathematician, F. Claud. Francis Milliet de Chales, of the Society of Jesus. Now made English, and a multitude of errors corrected, which had escap'd in the original."
Claude-François Milliet Dechales,Oxford_London_1700,1700,1700.0,1700-1724,"Oxford, London",ENGLISH,8,
"Jan Pietersz Dou, Sebastian Curtius",Amsterdam_1634,1634,1634.0,1625-1649,Amsterdam,GERMAN,8,"Die sechs ersten Bücher Euclidis, Deß Hochgelährten weitberümbten, Griechischen Philosophi und Mathematici: Von den Anfängen und fundamenten der Geometriae : Dabey dann mancherley auß diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Specie"
"Jan Pietersz Dou, Sebastian Curtius",Amsterdam_1634,1634,1634.0,1625-1649,Amsterdam,LATIN,8,"Die sechs ersten Bücher Euclidis, Deß Hochgelährten weitberümbten, Griechischen Philosophi und Mathematici: Von den Anfängen und fundamenten der Geometriae : Dabey dann mancherley auß diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Specie"
Isaac Barrow,London_1686,1686,1686.0,1675-1699,London,ENGLISH,12,"Euclid's Elements. The whole fifteen books compendiously demonstrated by Mr. Isaac Barrow, Fellow of Trinity Colledge in Cambridge. And translated out of the Latin."
Isaac Barrow,London_1660,1660,1660.0,1650-1674,London,ENGLISH,8,
"Jan Pietersz Dou, Sebastian Curtius",Amsterdam_1618,1618,1618.0,1600-1624,Amsterdam,GERMAN,4,
Erhard Ratdolt,Venice_1482,1482,1482.0,1475-1499,Venice,LATIN,2,"Preclarissimus liber elementorum Euclidis perspicacissimi, in artem geometrie incipit quam foelicissime"
Christoffer Dybvad,Arnhem_1605,1605,1605.0,1600-1624,Arnhem,LATIN,4,
Leonardo Achati,Vicenza_1491,1491,1491.0,1475-1499,Vicenza,LATIN,2,
Giorgio Valla,Venice_1498a,1498,1498.0,1475-1499,Venice,LATIN,2,
Bartolomeo Zamberti,Venice_1505,1505,1505.0,1500-1524,Venice,LATIN,2,Euclidis megarensis philosophi platonici mathematicarum disciplinarum Ianitoris
Ambrosius Lacher,Frankfurt_1506,1506,1506.0,1500-1524,Frankfurt,LATIN,4,Algorithmus mercatorrum variis proposicionibus eorundem contractibus inseruientibus multum decoratus
Luca Pacioli,Venice_1509,1509,1509.0,1500-1524,Venice,LATIN,2,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controversia principis opera
Bartolomeo Zamberti,Venice_1510,1510,1510.0,1500-1524,Venice,LATIN,2,Euclidis megarensis philosophi platonici mathematicarum disciplinarum janitoris
Jacques Lefèvre d'Étaples,Paris_1516,1516,1516.0,1500-1524,Paris,LATIN,2,Euclidis Megarensis geometricorum elementorum libri XV
Simon Grynaeus,Basel_1533,1533,1533.0,1525-1549,Basel,GREEK,2,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ. Euclidis Elementa.
Simon Grynaeus,Basel_1533,1533,1533.0,1525-1549,Basel,LATIN,2,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ. Euclidis Elementa.
Christian Herlin,Basel_1537,1537,1537.0,1525-1549,Basel,LATIN,2,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
Josias Rihel,Strasbourg_1538,1538,1538.0,1525-1549,Strasbourg,GREEK,4,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ ΘΕΩΝΟΣ συνουσιῶν τὸ πρῶτον
Josias Rihel,Strasbourg_1538,1538,1538.0,1525-1549,Strasbourg,LATIN,4,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ ΘΕΩΝΟΣ συνουσιῶν τὸ πρῶτον
Niccolò Tartaglia,Venice_1543,1543,1543.0,1525-1549,Venice,ITALIAN,2,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
Pierre de la Ramée,Paris_1545,1545,1545.0,1525-1549,Paris,LATIN,8,Elementa mathematica
Angelo Caiani,Rome_1545,1545,1545.0,1525-1549,Rome,GREEK,8,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV
Angelo Caiani,Rome_1545a,1545,1545.0,1525-1549,Rome,LATIN,8,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV
Christian Herlin,Basel_1546,1546,1546.0,1525-1549,Basel,LATIN,2,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
