cluster_key,from_key,to_key,from_year,to_year,year_delta,from_city,to_city,from_language,to_language,same_city,same_language,from_author_canonical,to_author_canonical
7F0AFC,Ingolstadt_1617,Bologna_1629,1617,1629,12,Ingolstadt,Bologna,LATIN,LATIN,False,True,Johann Lanz,Johann Lanz
7FA130,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True,Niccolò Tartaglia,Niccolò Tartaglia
8FLVS0,Paris_1610,Paris_1613,1610,1613,3,Paris,Paris,FRENCH,FRENCH,True,True,Didier Dounot,Didier Dounot
9DFF43,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True,Denis Henrion,Denis Henrion
9ZQKIV,Paris_1527,Paris_1531,1527,1531,4,Paris,Paris,LATIN,LATIN,True,True,Johannes de Sacrobosco,Johannes de Sacrobosco
9ZQKIV,Paris_1531,Paris_1534,1531,1534,3,Paris,Paris,LATIN,LATIN,True,True,Johannes de Sacrobosco,Johannes de Sacrobosco
C3FKBW,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True,Bartolomeo Zamberti,Bartolomeo Zamberti
E87DB8,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True,"Federico Commandino, Valerio Spacciuoli","Federico Commandino, Valerio Spacciuoli"
GY8NU4,Basel_1537,Basel_1546,1537,1546,9,Basel,Basel,LATIN,LATIN,True,True,Christian Herlin,Christian Herlin
GY8NU4,Basel_1546,Basel_1558,1546,1558,12,Basel,Basel,LATIN,LATIN,True,True,Christian Herlin,Christian Herlin
IJTAW0,Leiden_1691,Leiden_1692,1691,1692,1,Leiden,Leiden,LATIN,LATIN,True,True,Henrick Coets,Henrick Coets
JG2OCV,Paris_1573,Paris_1598,1573,1598,25,Paris,Paris,LATIN,LATIN,True,True,"Jean Magnien, Étienne Gracile","Jean Magnien, Étienne Gracile"
LKF40C,London_1678,London_1685,1678,1685,7,London,London,LATIN,LATIN,True,True,Isaac Barrow,Isaac Barrow
LKF40C,London_1685,London_1687,1685,1687,2,London,London,LATIN,LATIN,True,True,Isaac Barrow,Isaac Barrow
MBTNS7,Paris_1643b,Paris_1644a,1643,1644,1,Paris,Paris,LATIN,LATIN,True,True,Georges Fournier,Georges Fournier
NMR5AW,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True,Pierre Forcadel,Pierre Forcadel
NWKWR7,Paris_1544,Paris_1551,1544,1551,7,Paris,Paris,LATIN,LATIN,True,True,Oronce Finé,Oronce Finé
O56JUE,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True,"Federico Commandino, Valerio Spacciuoli","Federico Commandino, Valerio Spacciuoli"
P3Y44J,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True,Jacques Peletier,Jacques Peletier
PEFQCG,Rotterdam_1647,Utrecht_1647,1647,1647,0,Rotterdam,Utrecht,DUTCH,DUTCH,False,True,Jan Pietersz Dou,Jan Pietersz Dou
R1Q2YT,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True,Denis Henrion,Denis Henrion
R1Q2YT,Paris_1621,Paris_1631,1621,1631,10,Paris,Paris,FRENCH,FRENCH,True,True,Denis Henrion,Denis Henrion
RJJ2ER,Paris_1549,Paris_1558a,1549,1558,9,Paris,Paris,LATIN,LATIN,True,True,Pierre de la Ramée,Pierre de la Ramée
RRMFS9,Cologne_1602,Paris_1602,1602,1602,0,Cologne,Paris,LATIN,LATIN,False,True,François de Foix-Candale,François de Foix-Candale
TLOW8P,F2WVY3,Oxford_1705,1705,1705,0,Oxford,Oxford,ENGLISH,ENGLISH,True,True,Edmund Scarburgh,Edmund Scarburgh
U0105U,Douai_1625,Douai_1633,1625,1633,8,Douai,Douai,LATIN,LATIN,True,True,Charles Malapert de Mons,Charles Malapert de Mons
X65XY0,Ingolstadt_1617,Bologna_1629,1617,1629,12,Ingolstadt,Bologna,LATIN,LATIN,False,True,Johann Lanz,Johann Lanz
XE7Q8U,Geneva_1611,Geneva_1628,1611,1628,17,Geneva,Geneva,FRENCH,FRENCH,True,True,"Jacques Peletier, Jean de Tournes","Jacques Peletier, Jean de Tournes"
Y63G5P,Rome_1574,Rome_1589,1574,1589,15,Rome,Rome,LATIN,LATIN,True,True,Christopher Clavius,Christopher Clavius
