author_canonical,edition_count,earliest_year,latest_year,year_span,city_count,cities,language_count,languages,format_count,formats,primary_city,primary_language,primary_format,known_format_count,reprint_edge_count,same_city_reprint_edges,cross_city_reprint_edges,same_language_reprint_edges,cross_language_reprint_edges,translation_case_count,items,is_recurring_3plus
Christian Melder,1,1673,1673,0,1,"Leiden, Amsterdam",1,LATIN,1,6,"Leiden, Amsterdam",LATIN,6,1,0,0,0,0,0,0,Leiden_and_Amsterdam_1673,False
Christoph Meurer,1,1607,1607,0,1,Leipzig,1,LATIN,1,8,Leipzig,LATIN,8,1,0,0,0,0,0,0,Leipzig_1607,False
"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",1,1636,1636,0,1,Graz,1,LATIN,1,12,Graz,LATIN,12,1,0,0,0,0,0,0,Graz_1636,False
Claas Janszen Vooght,1,1695,1695,0,1,Amsterdam,1,DUTCH,1,4,Amsterdam,DUTCH,4,1,0,0,0,0,0,0,Amsterdam_1695,False
Claude Richard,1,1645,1645,0,1,Antwerp,1,LATIN,1,2,Antwerp,LATIN,2,1,0,0,0,0,0,0,Antwerp_1645,False
D. Joanni Franciso Polo,1,1684,1684,0,1,Bologna,1,LATIN,1,8,Bologna,LATIN,8,1,0,0,0,0,0,0,Bologna_1684,False
Erhard Ratdolt,1,1482,1482,0,1,Venice,1,LATIN,1,2,Venice,LATIN,2,1,0,0,0,0,0,0,Venice_1482,False
Federico Commandino,1,1572,1572,0,1,Pesaro,1,LATIN,1,2,Pesaro,LATIN,2,1,0,0,0,0,0,0,Pesaro_1572,False
Florimond du Puy,1,1612,1612,0,1,Paris,1,LATIN,1,2,Paris,LATIN,2,1,0,0,0,0,0,0,Paris_1612,False
"Gemma Frisius, Pierre Forcadel",1,1560,1560,0,1,Paris,1,FRENCH,1,4,Paris,FRENCH,4,1,0,0,0,0,0,0,ZNLALU,False
Gilles François Gottignies,1,1669,1669,0,1,Rome,1,LATIN,1,12,Rome,LATIN,12,1,0,0,0,0,0,0,ZQA6JR,False
