cluster_key,from_key,to_key,from_year,to_year,year_delta,from_city,to_city,from_language,to_language,same_city,same_language
NMR5AW,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True
NWKWR7,Paris_1544,Paris_1551,1544,1551,7,Paris,Paris,LATIN,LATIN,True,True
O56JUE,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True
P3Y44J,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True
PEFQCG,Rotterdam_1647,Utrecht_1647,1647,1647,0,Rotterdam,Utrecht,DUTCH,DUTCH,False,True
R1Q2YT,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True
R1Q2YT,Paris_1621,Paris_1631,1621,1631,10,Paris,Paris,FRENCH,FRENCH,True,True
RJJ2ER,Paris_1549,Paris_1558a,1549,1558,9,Paris,Paris,LATIN,LATIN,True,True
RRMFS9,Cologne_1602,Paris_1602,1602,1602,0,Cologne,Paris,LATIN,LATIN,False,True
TLOW8P,F2WVY3,Oxford_1705,1705,1705,0,Oxford,Oxford,ENGLISH,ENGLISH,True,True
U0105U,Douai_1625,Douai_1633,1625,1633,8,Douai,Douai,LATIN,LATIN,True,True
V6Q1EV,Paris_1794,KVSFF1,1794,1799,5,Paris,Paris,FRENCH,FRENCH,True,True
X65XY0,Ingolstadt_1617,Bologna_1629,1617,1629,12,Ingolstadt,Bologna,LATIN,LATIN,False,True
XE7Q8U,Geneva_1611,Geneva_1628,1611,1628,17,Geneva,Geneva,FRENCH,FRENCH,True,True
Y63G5P,Rome_1574,Rome_1589,1574,1589,15,Rome,Rome,LATIN,LATIN,True,True
