elements_books,additional_content,wardhaugh_classification,key,short_title,short_title_source,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,year_num,city_clean,language_clean,period_25
"1–6, 11–12",,CLAVIUS,Paris_1682,Les Elemens d'Euclide expliqués par le P. Claude François Milliet Dechalles,Provided by catalog,1682,Paris,FRENCH,Claude-François Milliet Dechales,Estienne Michallet,12.0,1.0,6088268,,,1682.0,Paris,FRENCH,1675-1699
"1–6, 11–12",,CLAVIUS,Amsterdam_1700,,,1700,Amsterdam,FRENCH,Claude-François Milliet Dechales,Estienne Roger,12.0,1.0,-,,,1700.0,Amsterdam,FRENCH,1700-1724
"5, 7",,COMMANDINO,Madrid_1665,,,1665,Madrid,SPANISH,"Antonio de Nájera, Juan de la Rocha",,2.0,1.0,,,,1665.0,Madrid,SPANISH,1650-1674
,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1566a,Les six premiers livres des Éléments d’Euclide,Specified in source,1566,Paris,FRENCH,Pierre Forcadel,Charles Perier,8.0,1.0,,,,1566.0,Paris,FRENCH,1550-1574
1–6,,CLAVIUS,Amsterdam_1702,,,1702,Amsterdam,DUTCH,Henrick Coets,Henrick en de Weduwe van Dirck Boom,8.0,1.0,,,,1702.0,Amsterdam,DUTCH,1700-1724
1–15 (enunciations),,COMMANDINO,Leiden_1617,,,1617,Leiden,DUTCH,Frans van Schooten,Govert Basson,12.0,1.0,,,,1617.0,Leiden,DUTCH,1600-1624
1–15,,CLAVIUS,Siena_1691,,,1691,Siena,LATIN,Elias Astorinus,Bonettos,12.0,1.0,-,,,1691.0,Siena,LATIN,1675-1699
1-6,,ZAMBERTI/GRYNAEUS (THEON),Paris_1551,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,Specified in source,1551,Paris,LATIN,Oronce Finé,Reginaldo Caldera,4.0,1.0,,,,1551.0,Paris,LATIN,1550-1574
1-6,,ZAMBERTI/GRYNAEUS (THEON),Paris_1536,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,Specified in source,1536,Paris,"LATIN, GREEK",Oronce Finé,Simon de Colines,2.0,1.0,,,,1536.0,Paris,LATIN | GREEK,1525-1549
1-6,,ZAMBERTI/GRYNAEUS (THEON),Paris_1544,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,Specified in source,1544,Paris,LATIN,Oronce Finé,Simon de Colines,2.0,1.0,,,,1544.0,Paris,LATIN,1525-1549
"1–6, 11–12",,HÉRIGONE/BARROW,London_1680–81,"A new systeme of the mathematicks: containing I. Arithmetick, as well natural and decimal, as in species, or the principles of Algebra. II. Practical geometry, together with the first six books of Euclid's Elements, as also the eleventh and twelfth, symbolically demonstrated. III. Trigonometry plain and spherical. IV. Cosmography, or a description of the heavens. V. Navigation, or sailing by a plain or Mercator's chart; as also by the arch of a great circle,",Provided by catalog,1680/1681,London,ENGLISH,Jonas Moore,Robert Scott,4.0,2.0,3102825,"In ustc the author is Moore, Jonas",,1680.0,London,ENGLISH,1675-1699
1–15,,COMMANDINO,Pesaro_1619,,,1619,Pesaro,LATIN,"Federico Commandino, Valerio Spacciuoli",,2.0,1.0,,,True,1619.0,Pesaro,LATIN,1600-1624
