cluster_key,item_key,year,year_num,city,language,author_or_editor,short_title
E87DB8,Urbino_1575,1575,1575.0,Urbino,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
E87DB8,Pesaro_1619a,1619,1619.0,Pesaro,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
GY8NU4,Basel_1537,1537,1537.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
GY8NU4,Basel_1546,1546,1546.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
GY8NU4,Basel_1558,1558,1558.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
IJTAW0,Leiden_1691,1691,1691.0,Leiden,LATIN,Henrick Coets,Euclidis Elementorum Sex Libri Priores Demonstrati
IJTAW0,Leiden_1692,1692,1692.0,Leiden,LATIN,Henrick Coets,
JG2OCV,Paris_1573,1573,1573.0,Paris,LATIN,"Jean Magnien, Étienne Gracile",
JG2OCV,Paris_1598,1598,1598.0,Paris,LATIN,"Jean Magnien, Étienne Gracile",
LKF40C,London_1678,1678,1678.0,London,LATIN,Isaac Barrow,EUCLIDIS ELEMENTORUM Libri XV. breviter demonstrati
LKF40C,London_1685,1685,1685.0,London,LATIN,Isaac Barrow,
LKF40C,London_1687,1687,1687.0,London,LATIN,Isaac Barrow,"Euclidis Elementorum libri XV. breviter demonstrati, opera Is. Barrow, Cantabrigiensis, Coll. Trin. Soc. Et prioribus mendis typographicis nunc demum purgati."
MBTNS7,Paris_1643b,1643,1643.0,Paris,LATIN,Georges Fournier,
MBTNS7,Paris_1644a,1644,1644.0,Paris,LATIN,Georges Fournier,
NMR5AW,Paris_1565,1565,1565.0,Paris,FRENCH,Pierre Forcadel,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
NMR5AW,Paris_1565a,1565,1565.0,Paris,FRENCH,Pierre Forcadel,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
NWKWR7,Paris_1544,1544,1544.0,Paris,LATIN,Oronce Finé,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
NWKWR7,Paris_1551,1551,1551.0,Paris,LATIN,Oronce Finé,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
O56JUE,Urbino_1575,1575,1575.0,Urbino,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
O56JUE,Pesaro_1619a,1619,1619.0,Pesaro,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
P3Y44J,Lyon_1557,1557,1557.0,Lyon,LATIN,Jacques Peletier,In Euclidis Elementa geometrica demonstrationum libri sex
P3Y44J,Geneva_1610,1610,1610.0,Geneva,LATIN,Jacques Peletier,In Euclidis Elementa geometrica demonstrationum libri sex
PEFQCG,Rotterdam_1647,1647,1647.0,Rotterdam,DUTCH,Jan Pietersz Dou,
PEFQCG,Utrecht_1647,1647,1647.0,Utrecht,DUTCH,Jan Pietersz Dou,
R1Q2YT,Paris_1615,1615,1615.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
R1Q2YT,Paris_1621,1621,1621.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
R1Q2YT,Paris_1631,1631,1631.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
RJJ2ER,Paris_1549,1549,1549.0,Paris,LATIN,Pierre de la Ramée,Euclides
RJJ2ER,Paris_1558a,1558,1558.0,Paris,LATIN,Pierre de la Ramée,Euclides
RRMFS9,Cologne_1602,1602,1602.0,Cologne,LATIN,François de Foix-Candale,
RRMFS9,Paris_1602,1602,1602.0,Paris,LATIN,François de Foix-Candale,
TLOW8P,F2WVY3,1705,1705.0,Oxford,ENGLISH,Edmund Scarburgh,"The English Euclide, being The First Six Elements of Geometry, translated out of the Greek"
TLOW8P,Oxford_1705,1705,1705.0,Oxford,ENGLISH,Edmund Scarburgh,"The English Euclide, being The First Six Elements of Geometry, translated out of the Greek"
U0105U,Douai_1625,1625,1625.0,Douai,LATIN,Charles Malapert de Mons,
U0105U,Douai_1633,1633,1633.0,Douai,LATIN,Charles Malapert de Mons,
X65XY0,Ingolstadt_1617,1617,1617.0,Ingolstadt,LATIN,Johann Lanz,Euclidis elementorum geometricorum libri sex priores
X65XY0,Bologna_1629,1629,1629.0,Bologna,LATIN,Johann Lanz,Euclidis elementorum geometricorum libri sex priores
XE7Q8U,Geneva_1611,1611,1611.0,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",Les six premiers livres des Eléments géométriques
XE7Q8U,Geneva_1628,1628,1628.0,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",Les six premiers livres des éléments géométriques d’Euclide
Y63G5P,Rome_1574,1574,1574.0,Rome,LATIN,Christopher Clavius,Euclidis elementorum libri XV
Y63G5P,Rome_1589,1589,1589.0,Rome,LATIN,Christopher Clavius,Euclidis elementorum libri XV
