variable,comparison_group,category,count,denominator,share
subject family,Non-Elements: other,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,9,533,0.016885553470919325
subject family,Non-Elements: other,Instruments/Measurement | Cosmos/Earth,7,533,0.013133208255159476
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,7,533,0.013133208255159476
subject family,Non-Elements: other,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,6,533,0.01125703564727955
subject family,Non-Elements: other,Music,4,533,0.0075046904315197
subject family,Non-Elements: other,Arithmetic/Commerce | Instruments/Measurement,4,533,0.0075046904315197
subject family,Non-Elements: other,Geometry/Theory | Cosmos/Earth,3,533,0.005628517823639775
subject family,Non-Elements: other,Geometry/Theory | Applied Mechanics/Military,3,533,0.005628517823639775
subject family,Non-Elements: other,Arithmetic/Commerce | Cosmos/Earth,3,533,0.005628517823639775
subject family,Non-Elements: other,Arithmetic/Commerce | Applied Mechanics/Military,3,533,0.005628517823639775
subject family,Non-Elements: other,Geometry/Theory | Visual/Spatial Arts | Applied Mechanics/Military,3,533,0.005628517823639775
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military,2,533,0.00375234521575985
subject family,Non-Elements: other,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,2,533,0.00375234521575985
subject family,Non-Elements: other,Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth,2,533,0.00375234521575985
subject family,Non-Elements: other,Arithmetic/Commerce | Music,2,533,0.00375234521575985
subject family,Non-Elements: other,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military,2,533,0.00375234521575985
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,2,533,0.00375234521575985
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth,2,533,0.00375234521575985
subject family,Non-Elements: other,Geometry/Theory | Instruments/Measurement | Applied Mechanics/Military,2,533,0.00375234521575985
subject family,Non-Elements: other,Visual/Spatial Arts | Instruments/Measurement,1,533,0.001876172607879925
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Applied Mechanics/Military,1,533,0.001876172607879925
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce | Music,1,533,0.001876172607879925
