edition_key,corpus,year,city,language,format,geometrical_dotted_lines,token_lines,other_dotted_lines,has_dotted_diagrams_wide_sense,raw_dotted_lines,lines_classified,notes,has_diagrams,reprint_of,short_title,author_or_editor,publisher,volumes,ustc_id,elements_books,includes_elements_plane_geometry_books_1_6,includes_elements_arithmetical_books_7_9,includes_elements_book_10,includes_elements_solid_geometry_books_11_13,additional_content,reprint_of_inferred_from_clusters,reprint_cluster_comparison
L3XLGB,Additional Work,1564,Poitiers,FRENCH,4,,,,No (has diagrams),No (has diagrams),Yes,I saw a ruler...,TRUE,,"La maniere de fere les solaires, que communement on appelle quadrans",Elie Vinet,Enguilbert de Marnef,1,15346,,,,,,,,neither
S105XB,Additional Work,1564,Frankfurt,GERMAN,2,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,Des circkels unnd richtscheyts auch der perspectiua und proportion der menschen und rosse kurtze doch gruendtliche underweisung deß rechten gebrauchs,Heinrich Lautensack,"Sigmund Feyerabend, Georg Rab, Heinrich Lautensack",1,634990,,,,,,,,neither
bib-27,Additional Work,1565,Venice,ITALIAN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Leon Battista Alberti,Francesco de Franceschi,,,,,,,,,,neither
YPQYIR,Additional Work,1565,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,"An (abridged?) ""translation"" of Archimedes + Euclid",TRUE,,Le livre d'Archimède des pois,Pierre Forcadel,Charles Périer,1,29458,,,,,,,,neither
YQDZSW,Additional Work,1565,Paris,FRENCH,4,Geometrical,,,Yes,Geometrical,Yes,"Translation of Archimedes (""On the Equilibrium of Planes"")",TRUE,,Le premier livre des choses egallement pesantes ,Pierre Forcadel,Charles Périer,1,24408,,,,,,,,neither
YCXMIJ,Additional Work,1565,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,"Deux livres de Proclus du mouvement, traduict et commenté ",Pierre Forcadel,Charles Périer,1,51314,,,,,,,,neither
UEIZFO,Additional Work,1565,Paris,FRENCH,4,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,Arithmetique entiere et abregee ,Pierre Forcadel,Charles Périer,1,19644,,,,,,,,neither
bib-44,Additional Work,1567,Paris,FRENCH,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Le_Premier_tome_de_l_Architecture_de_Phi/t4IMD9xRcmUC?hl=en&gbpv=1&pg=PA232-IA1&printsec=frontcover,TRUE,,,De l’Orme Delorme,Frédéric Morel,,,,,,,,,,neither
bib-71,Additional Work,1567,Venice,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Marcus Vitruvius Pollio,Francesco de Franceschi,,,,,,,,,,neither
bib-151,Additional Work,1567,Brescia,ITALIAN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Girolamo Cataneo,Thomaso Bozola,,,,,,,,,,neither
K7DERJ,Additional Work,1567,Augsburg,GERMAN,2,,,,Not relevant (no diagrrams in edition),,,,FALSE,,Geometria et perspectiva. Hier inn etliche zerbrochne gebew den schreinr in eingelegter arbait dienstlich auch vil andern liebhabern zu sondr gefallen geordnet unnd gestelt durch lorentz stöer maller burger inn Augspurg.,Lorenz Stör,Hans Rogel,1,659349,,,,,,,,neither
bib-18,Additional Work,1568,Salamanca,SPANISH,,Geometrical,,,Yes,Geometrical,Yes,p. 208,TRUE,,Obra intitulada fragmentos mathematicos,Juan Pérez de Moya,Juan de Canova,1,,,,,,,,,neither
bib-26,Additional Work,1568,Venice,ITALIAN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Leon Battista Alberti,Francesco de Franceschi,,,,,,,,,,neither
