edition_key,corpus,year,city,language,format,geometrical_dotted_lines,token_lines,other_dotted_lines,has_dotted_diagrams_wide_sense,raw_dotted_lines,lines_classified,notes,has_diagrams,reprint_of,short_title,author_or_editor,publisher,volumes,ustc_id,elements_books,includes_elements_plane_geometry_books_1_6,includes_elements_arithmetical_books_7_9,includes_elements_book_10,includes_elements_solid_geometry_books_11_13,additional_content,reprint_of_inferred_from_clusters,reprint_cluster_comparison
Paris_1564,Main Elements,1564,Paris,FRENCH,4,Geometrical (I.43),,,Yes,Geometrical (I.43),Yes,,TRUE,,"Les six premiers livres des Éléments d’Euclide, traduits et commentés",Pierre Forcadel,"Jérôme de Marnef, Guillaume Cauellat",1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Wittenberg_1564,Main Elements,1564,Wittenberg,"GREEK, LATIN",8,,,,Yes,,Yes,,,,Arithmetices Euclideae,Joannes Sthen,,1,,7,FALSE,TRUE,FALSE,FALSE,,,neither
Paris_1565,Main Elements,1565,Paris,FRENCH,4,,,,Yes,,Yes,,,,"Les septième, huitième et neuvième livres des Éléments d’Euclide",Pierre Forcadel,Charles Perier,1,,"7, 8, 9",FALSE,TRUE,FALSE,FALSE,,,neither
Paris_1566a,Main Elements,1566,Paris,FRENCH,8,,,,Yes,,Yes,,TRUE,,Les six premiers livres des Éléments d’Euclide,Pierre Forcadel,Charles Perier,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,Includes only the enunciations,,neither
Paris_1566,Main Elements,1566,Paris,LATIN,2,,,,Yes,,Yes,,TRUE,,Euclidis Megarensis mathematici clarissimi elementa geometrica libri XV,François de Foix-Candale,Johann Royer,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",TRUE,TRUE,TRUE,TRUE,,,neither
London_1570,Main Elements,1570,London,ENGLISH,2,"Tokens + Geometrical (VI.def.6, XII.17)","Tokens + Geometrical (VI.def.6, XII.17)",,Yes,"Tokens + Geometrical (VI.def.6, XII.17)",Yes,,TRUE,,The elements of geometrie of the most ancient philosopher Euclide of Megara,"Henry Billingsley, John Dee",John Daye,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",TRUE,TRUE,TRUE,TRUE,,,neither
Pesaro_1572,Main Elements,1572,Pesaro,LATIN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,,Euclidis elementorum libri XV una cum scholiis antiquis,Federico Commandino,Camillo Franceschini,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Rome_1574,Main Elements,1574,Rome,LATIN,8,,Tokens,,Yes,Tokens,Yes,,TRUE,,Euclidis elementorum libri XV,Christopher Clavius,Vincentium Accoltum,1,828480,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",TRUE,TRUE,TRUE,TRUE,,,neither
Urbino_1575,Main Elements,1575,Urbino,ITALIAN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,,De gli elementi d’Euclide libri quindici con gli scolii antichi,"Federico Commandino, Valerio Spacciuoli",Domenico Frisolino,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Pesaro_1619,Main Elements,1619,Pesaro,LATIN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,Urbino_1575,,"Federico Commandino, Valerio Spacciuoli",,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,classification only
Pesaro_1619a,Main Elements,1619,Pesaro,ITALIAN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,Urbino_1575,De gli elementi d’Euclide libri quindici con gli scolii antichi,"Federico Commandino, Valerio Spacciuoli",Flaminio Concordia,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,Urbino_1575,same reprint family
Venice_1575,Main Elements,1575,Venice,LATIN,4,,,,Yes,,Yes,,TRUE,,Opuscula mathematica,Francesco Maurolico,Francesco de Franceschi,1,,"13, 14, 15",FALSE,FALSE,FALSE,TRUE,,,neither
Seville_1576,Main Elements,1576,Seville,SPANISH,4,,,,Yes,,Yes,,TRUE,,Los seis libros primeros de la geometría de Euclides,Rodorigo de Zamorano,Alonso de la Barrera,1,336161,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Rome_1589,Main Elements,1589,Rome,LATIN,8,"Tokens (already in VI.11, which does not correspond to something i see in Heath) + Geometrical (I.def.12, I.12, I.28, I.47, II.12--14, IV.5, IV.16, VI.11 (in Clavius - VI.9), VI.17)","Tokens (already in VI.11, which does not correspond to something i see in Heath) + Geometrical (I.def.12, I.12, I.28, I.47, II.12--14, IV.5, IV.16, VI.11 (in Clavius - VI.9), VI.17)",,Yes,"Tokens (already in VI.11, which does not correspond to something i see in Heath) + Geometrical (I.def.12, I.12, I.28, I.47, II.12--14, IV.5, IV.16, VI.11 (in Clavius - VI.9), VI.17)",Yes,,TRUE,,Euclidis elementorum libri XV,Christopher Clavius,,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",TRUE,TRUE,TRUE,TRUE,,Rome_1574,clusters only
Cologne_1591,Main Elements,1591,Cologne,LATIN,4,"Tokens + Geometrical (Multiple diagrams in Book~I, II.12, II.13, III.11, III.12, IV.5, IV.11, VI.17, VI.33, XIII.13)","Tokens + Geometrical (Multiple diagrams in Book~I, II.12, II.13, III.11, III.12, IV.5, IV.11, VI.17, VI.33, XIII.13)",,Yes,"Tokens + Geometrical (Multiple diagrams in Book~I, II.12, II.13, III.11, III.12, IV.5, IV.11, VI.17, VI.33, XIII.13)",Yes,,TRUE,,Euclidis elementorum libri XV; accessit XVI de solidorum regularium cuiuslibet intra quodlibet comparatione,Christopher Clavius,Giovanni Battista Ciotti,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",TRUE,TRUE,TRUE,TRUE,,,neither
Paris_1598a,Main Elements,1598,Paris,FRENCH,8,Geometrical (III.25),,,Yes,Geometrical (III.25),Yes,,TRUE,,Les six premiers livres des Éléments d’Euclide,Jean Errard,Guillaume Auvray,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Arnhem_1603,Main Elements,1603,Arnhem,LATIN,4,,,,Yes,,Yes,,TRUE,,In geometriam Euclidis prioribus sex elementorum libris comprehensam demonstratio linealis,Christoffer Dybvad,Johannes Jansz,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Leiden_1606,Main Elements,1606,Leiden,DUTCH,4,Geometrical (Multiple diagrams in Books~I--IV and VI),,,Yes,Geometrical (Multiple diagrams in Books~I--IV and VI),Yes,,TRUE,,De ses eerste boucken Euclidis,Jan Pietersz Dou,Jan Bouwensz,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Wittenberg_1609,Main Elements,1609,Wittenberg,LATIN,8,"Tokens + Geometrical (Multiple diagrams in Books~I, III, IV, VI)","Tokens + Geometrical (Multiple diagrams in Books~I, III, IV, VI)",,Yes,"Tokens + Geometrical (Multiple diagrams in Books~I, III, IV, VI)",Yes,,TRUE,,Euclidis elementorum libri XIII,Ambrosius Rhode,Paul Helwig,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",TRUE,TRUE,TRUE,TRUE,,,neither
Wittenberg_1634,Main Elements,1634,Wittenberg,LATIN,8,"Tokens + Geometrical (Multiple diagrams in Books~I, III, IV, VI)","Tokens + Geometrical (Multiple diagrams in Books~I, III, IV, VI)",,Yes,"Tokens + Geometrical (Multiple diagrams in Books~I, III, IV, VI)",Yes,,TRUE,Wittenberg_1609,Euclidis elementorum libri XIII,Ambrosius Rhode,Heirs of Paul Helwig,1,-,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",TRUE,TRUE,TRUE,TRUE,,Wittenberg_1609,same reprint family
Geneva_1610,Main Elements,1610,Geneva,LATIN,4,,,,Yes,,Yes,,TRUE,,In Euclidis Elementa geometrica demonstrationum libri sex,Jacques Peletier,Jean di Tournes,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,Lyon_1557,clusters only
Ansbach_1610,Main Elements,1610,Ansbach,"GERMAN, LATIN",2,"Geometrical (Multiple diagrams in Books~I, III and VI)",,,Yes,"Geometrical (Multiple diagrams in Books~I, III and VI)",Yes,,TRUE,,Die ersten sechs Bücher Elementorum Euclidis,Simon Marius,Paulum Böhm,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Paris_1610,Main Elements,1610,Paris,FRENCH,4,,Tokens,,Yes,Tokens,Yes,,TRUE,,Les éléments de la géométrie d’Euclide Mégarien,Didier Dounot,Jacques Le Roy,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Paris_1612,Main Elements,1612,Paris,LATIN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,,Euclidis elementorum decimum,Florimond du Puy,Jean de Heuqueville,1,,10,FALSE,FALSE,TRUE,FALSE,,,neither
Paris_1613,Main Elements,1613,Paris,FRENCH,4,Tokens + Geometrical (Multiple diagrams in Book~I),Tokens + Geometrical (Multiple diagrams in Book~I),,Yes,Tokens + Geometrical (Multiple diagrams in Book~I),Yes,,TRUE,,Les éléments de la géométrie d’Euclide Mégarien,Didier Dounot,Jacques Le Roy,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,Paris_1610,clusters only
Paris_1615,Main Elements,1615,Paris,FRENCH,8,Tokens + Geometrical (VI.18),Tokens + Geometrical (VI.18),,Yes,Tokens + Geometrical (VI.18),Yes,,TRUE,,"Les quinze livres des Éléments d’Euclide, traduits du latin en français",Denis Henrion,Jean Antoine Joallin,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Paris_1621,Main Elements,1621,Paris,FRENCH,8,Tokens + Geometrical (VI.18),Tokens + Geometrical (VI.18),,Yes,Tokens + Geometrical (VI.18),Yes,,TRUE,Paris_1615,"Les quinze livres des Éléments d’Euclide, traduits du latin en français",Denis Henrion,Jean Antoine Joallin,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,Paris_1615,same reprint family
Ingolstadt_1617,Main Elements,1617,Ingolstadt,LATIN,8,,,,Yes,,Yes,,TRUE,,Euclidis elementorum geometricorum libri sex priores,Johann Lanz,Angermayer,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Bologna_1629,Main Elements,1629,Bologna,LATIN,8,,,,Yes,,Yes,,TRUE,Ingolstadt_1617,Euclidis elementorum geometricorum libri sex priores,Johann Lanz,Heirs of Giovanni Rossi,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,Ingolstadt_1617,same reprint family
Geneva_1628,Main Elements,1628,Geneva,FRENCH,8,,,,Yes,,Yes,,TRUE,,Les six premiers livres des éléments géométriques d’Euclide,"Jacques Peletier, Jean de Tournes",Jean di Tournes,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,Geneva_1611,clusters only
Paris_1632,Main Elements,1632,Paris,FRENCH,4,"Tokens + Geometrical (III.22, III.23, III.25, VI.18, VI.20)","Tokens + Geometrical (III.22, III.23, III.25, VI.18, VI.20)",,Yes,"Tokens + Geometrical (III.22, III.23, III.25, VI.18, VI.20)",Yes,,TRUE,,Les quinze livres des éléments géométriques d'Euclide,Denis Henrion,Isaac Dedin,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,Data,,neither
Uppsala_1642,Main Elements,1642,Uppsala,LATIN,,"Geometrical (Multiple diagrams in Book~I, II.12, II.13, IV.def.3 and on the title page)",,,Yes,"Geometrical (Multiple diagrams in Book~I, II.12, II.13, IV.def.3 and on the title page)",Yes,,TRUE,,In geometriam Euclidis demonstrationum libri sex,Martinus Erici Gestrinius,Eschillus Matthiae,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
